name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Hemsley House at University Park,4.4,,Assisted living facility,2105 University Park Blvd,,Open 24 hours,https://legendseniorliving.com/find-a-community/colorado/hemsley-house-at-university-park/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness,https://www.google.com/maps/place/Hemsley+House+at+University+Park/data=!4m7!3m6!1s0x87134f02c0d59bd5:0x286d4ecfe881323c!8m2!3d38.9099166!4d-104.788041!16s%2Fg%2F1w4vkc_n!19sChIJ1ZvVwAJPE4cRPDKB6M9ObSg?authuser=0&hl=en&rclk=1
The Lodge at Palmer Point Residential Assisted Living,4.8,,Assisted living facility,3205 Leslie Dr,,Open · Closes 6 PM,https://www.lodgepalmerpoint.com/,https://www.google.com/maps/place/The+Lodge+at+Palmer+Point+Residential+Assisted+Living/data=!4m7!3m6!1s0x87134f6450c4cc83:0xffa67962950ae5d8!8m2!3d38.8782848!4d-104.7838265!16s%2Fg%2F1tf9t8m6!19sChIJg8zEUGRPE4cR2OUKlWJ5pv8?authuser=0&hl=en&rclk=1
Winslow Court Assisted & Senior Living,4.5,,Assisted living facility,3920 E San Miguel St,,Open 24 hours,https://stellarliving.com/communities/winslow-court-assisted-senior-living-colorado-springs-co/,https://www.google.com/maps/place/Winslow+Court+Assisted+%26+Senior+Living/data=!4m7!3m6!1s0x871345dfa9bfa9c7:0x82c6acd8c226dea9!8m2!3d38.851948!4d-104.75454!16s%2Fg%2F1td2vb_n!19sChIJx6m_qd9FE4cRqd4mwtisxoI?authuser=0&hl=en&rclk=1
MacKenzie Place - Colorado Springs,4.1,,Assisted living facility,1605 Elm Crk Vw,,Open 24 hours,https://www.leisurecare.com/our-communities/mackenzie-place-colorado-springs/,https://www.google.com/maps/place/MacKenzie+Place+-+Colorado+Springs/data=!4m7!3m6!1s0x87134f7f7eea09af:0x5793d275327d7b04!8m2!3d38.8723774!4d-104.7968562!16s%2Fg%2F1tgns3d4!19sChIJrwnqfn9PE4cRBHt9MnXSk1c?authuser=0&hl=en&rclk=1
The Bridge at Colorado Springs,4.7,,Assisted living facility,2494 International Cir,,Open 24 hours,https://www.centurypa.com/senior-living/bridge-colorado-springs,https://www.google.com/maps/place/The+Bridge+at+Colorado+Springs/data=!4m7!3m6!1s0x8713444cb0fb7781:0xd9796d604affc136!8m2!3d38.829909!4d-104.782105!16s%2Fg%2F1tfwkth3!19sChIJgXf7sExEE4cRNsH_SmBtedk?authuser=0&hl=en&rclk=1
Legend of Colorado Springs,4.2,,Assisted living facility,2368 Research Pkwy,,Open 24 hours,https://legendseniorliving.com/find-a-community/colorado/legend-of-colorado-springs/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness,https://www.google.com/maps/place/Legend+of+Colorado+Springs/data=!4m7!3m6!1s0x87134d55ff481f29:0x49e5b4478b3217c4!8m2!3d38.9606973!4d-104.7883861!16s%2Fg%2F11fphp6l_r!19sChIJKR9I_1VNE4cRxBcyi0e05Uk?authuser=0&hl=en&rclk=1
Bear Creek Assisted & Senior Living,4.5,,Assisted living facility,1685 21st St,,Open 24 hours,https://stellarliving.com/communities/bear-creek-assisted-senior-living-colorado-springs-co/,https://www.google.com/maps/place/Bear+Creek+Assisted+%26+Senior+Living/data=!4m7!3m6!1s0x87135b8aa08f3ef9:0x727daa531f4ae14d!8m2!3d38.8251272!4d-104.8584792!16s%2Fg%2F11h45_qq0y!19sChIJ-T6PoIpbE4cRTeFKH1OqfXI?authuser=0&hl=en&rclk=1
Retreat at Sunny Vista,4.3,,Assisted living facility,2450 E Cache La Poudre St,,Open 24 hours,http://www.sunnyvista.org/,https://www.google.com/maps/place/Retreat+at+Sunny+Vista/data=!4m7!3m6!1s0x871345bb861e993f:0x4de6654be296f7fc!8m2!3d38.8452838!4d-104.7840589!16s%2Fg%2F11gdphbqx5!19sChIJP5kehrtFE4cR_PeW4ktl5k0?authuser=0&hl=en&rclk=1
Liberty Heights,4.2,,Assisted living facility,12105 Ambassador Dr,,Open 24 hours,https://www.seniorlifestyle.com/property/colorado/liberty-heights/?utm_source=GMB&utm_medium=organic&utm_campaign=405&utm_content=liberty-heights,https://www.google.com/maps/place/Liberty+Heights/data=!4m7!3m6!1s0x87134ce31cbe4625:0x960613b49f60ffe8!8m2!3d39.0063196!4d-104.7965046!16s%2Fg%2F1tf2y7nr!19sChIJJUa-HONME4cR6P9gn7QTBpY?authuser=0&hl=en&rclk=1
MorningStar Assisted Living & Memory Care at Mountain Shadows,4.6,,Assisted living facility,5355 Centennial Blvd,,Open 24 hours,https://www.morningstarseniorliving.com/communities/assisted-living-colorado-springs-mountain-shadows/,https://www.google.com/maps/place/MorningStar+Assisted+Living+%26+Memory+Care+at+Mountain+Shadows/data=!4m7!3m6!1s0x871351cf33ad10a3:0x50779ba67bdd86c9!8m2!3d38.9101831!4d-104.8629187!16s%2Fg%2F12lrpbrsg!19sChIJoxCtM89RE4cRyYbde6abd1A?authuser=0&hl=en&rclk=1
The Palisades at Broadmoor Park,4.2,,Assisted living facility,4547 Palisades Park View,,Open 24 hours,https://www.mbkseniorliving.com/senior-living/co/colorado-springs/the-palisades-at-broadmoor-park?utm_source=GBP&utm_medium=organic,https://www.google.com/maps/place/The+Palisades+at+Broadmoor+Park/data=!4m7!3m6!1s0x8713436b716687db:0xe7a540181af41f1!8m2!3d38.7661265!4d-104.8170153!16s%2Fg%2F1tgh3fjs!19sChIJ24dmcWtDE4cR8UGvgQFUeg4?authuser=0&hl=en&rclk=1
The Ivy Colorado Springs,5.0,,Assisted living facility,9112 Grand Cordera Pkwy,,Open 24 hours,https://ivyliving.com/theivycoloradosprings/,https://www.google.com/maps/place/The+Ivy+Colorado+Springs/data=!4m7!3m6!1s0x87134b2bcc7842eb:0x8e20888910045b1!8m2!3d38.9612855!4d-104.7312281!16s%2Fg%2F11zkv62zdz!19sChIJ60J4zCtLE4cRsUUAkYgI4gg?authuser=0&hl=en&rclk=1
Melody Living Assisted living & Memory Care,4.5,,Assisted living facility,7600 Sandy Rock Point,,Open 24 hours,https://melodylivingcos.com/assisted-living/?utm_source=local&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Melody+Living+Assisted+living+%26+Memory+Care/data=!4m7!3m6!1s0x871349732b076579:0x73592f96baa6dd74!8m2!3d38.9415805!4d-104.7139663!16s%2Fg%2F11f3g9lq1b!19sChIJeWUHK3NJE4cRdN2mupYvWXM?authuser=0&hl=en&rclk=1
Brookdale Monument Valley Park,4.6,,Assisted living facility,10 W Monument St,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-monument-valley-park.html?cid=yext,https://www.google.com/maps/place/Brookdale+Monument+Valley+Park/data=!4m7!3m6!1s0x8713453f146bf2ef:0xa4ebef32411c743b!8m2!3d38.8437826!4d-104.8261544!16s%2Fg%2F1tc_rgm1!19sChIJ7_JrFD9FE4cRO3QcQTLv66Q?authuser=0&hl=en&rclk=1
The Gardens at Broadmoor Court Assisted Living,4.2,,Retirement community,2045 Roanoke St,,Open 24 hours,https://www.broadmoorcourt.com/?utm_source=local-listing&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/The+Gardens+at+Broadmoor+Court+Assisted+Living/data=!4m7!3m6!1s0x871344bfc26d93dd:0xcc99252fe245e09f!8m2!3d38.8032222!4d-104.823306!16s%2Fg%2F1v3khzdj!19sChIJ3ZNtwr9EE4cRn-BF4i8lmcw?authuser=0&hl=en&rclk=1
Summit Glen Gracious Retirement Living,4.9,,Retirement home,4825 Old Farm Dr,,Open · Closes 7 PM,https://seniorlivinginstyle.com/summit-glen/,https://www.google.com/maps/place/Summit+Glen+Gracious+Retirement+Living/data=!4m7!3m6!1s0x871348c4674884d3:0x8dc95d979d57cf08!8m2!3d38.9049876!4d-104.7380229!16s%2Fg%2F1tdq1lbq!19sChIJ04RIZ8RIE4cRCM9XnZddyY0?authuser=0&hl=en&rclk=1
The Gardens at ViewPointe,4.3,,Retirement community,555 S Rockrimmon Blvd,,Open 24 hours,https://www.thegardensatviewpointe.com/?utm_source=local-listing&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/The+Gardens+at+ViewPointe/data=!4m7!3m6!1s0x87134e1f621cf1d9:0xe51032feb53e4f56!8m2!3d38.9192202!4d-104.8390022!16s%2Fg%2F1tkc73vw!19sChIJ2fEcYh9OE4cRVk8-tf4yEOU?authuser=0&hl=en&rclk=1
Lark Springs,3.9,,Assisted living facility,2850 N Academy Blvd,,Open · Closes 5 PM,https://www.eagleseniorliving.org/locations/lark-springs/,https://www.google.com/maps/place/Lark+Springs/data=!4m7!3m6!1s0x871345f8c42d4099:0xbd7fac93cf665163!8m2!3d38.8725515!4d-104.7583356!16s%2Fg%2F1v5fsc4x!19sChIJmUAtxPhFE4cRY1Fmz5Osf70?authuser=0&hl=en&rclk=1
Brookdale Skyline,3.6,,Assisted living facility,2365 Patriot Heights,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-skyline.html?cid=yext,https://www.google.com/maps/place/Brookdale+Skyline/data=!4m7!3m6!1s0x87135ac2a905c9a7:0xb7f1bbad8d55e500!8m2!3d38.8306107!4d-104.8688468!16s%2Fg%2F1tgc06x8!19sChIJp8kFqcJaE4cRAOVVja278bc?authuser=0&hl=en&rclk=1
The Inn at Garden Plaza,4.9,,Retirement community,2520 International Cir,,Open 24 hours,https://www.centurypa.com/senior-living/inn-garden-plaza/,https://www.google.com/maps/place/The+Inn+at+Garden+Plaza/data=!4m7!3m6!1s0x8713444c9c7a1843:0x685963ac4c8e1a03!8m2!3d38.8287766!4d-104.7815173!16s%2Fg%2F1tf65y9t!19sChIJQxh6nExEE4cRAxqOTKxjWWg?authuser=0&hl=en&rclk=1
The Inn at Garden Plaza,4.9,,Retirement community,2520 International Circle,,Open 24 hours,/aclk?sa=L&ai=DChsSEwiPsemOlIqVAxXNbkcBHf7XCLkYACICCAEQABoCcXU&co=1&ase=2&gclid=EAIaIQobChMIj7HpjpSKlQMVzW5HAR3-1wi5EBAYASAAEgK7jPD_BwE&cid=CAASuwHkaFxXkAvRTtr9HjN9w3e-WllxwCFeS8fAKwbbgn8K2LwALEGWQS0GLfNVBaI_TCzx2L8Yj1I67KFn9WEwirRL3EyI1XUfiCmYKC5tDE2rTWHnrqf5VXgwe4CKA93bjO_hGTEbgrOmq2mmxcmYLSulp_iaXDvP4KQjmT_JibR8UVxiEqk3egoipR0UqwxcbghIxUXbwFBxXqxlpcS-eqvM0pDlsyNosJ0ZxODwbXkprbMfMw5JkJ98Vzv7&cce=2&category=acrcp_v1_32&sig=AOD64_1dQqp2b3RYh9EHP6b3iIn-GAWHZQ&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/The+Inn+at+Garden+Plaza/data=!4m7!3m6!1s0x8713444c9c7a1843:0x685963ac4c8e1a03!8m2!3d38.828777!4d-104.781517!16s%2Fg%2F1tf65y9t!19sChIJQxh6nExEE4cRAxqOTKxjWWg?authuser=0&hl=en&rclk=1
Rivaria Vista Grande,3.6,,Assisted living facility,2780 Vickers Dr,,Open 24 hours,https://rivariavistagrande.seniorlivingnearme.com/,https://www.google.com/maps/place/Rivaria+Vista+Grande/data=!4m7!3m6!1s0x87134ee06dea57cd:0xbe2f64976220e9b8!8m2!3d38.9145211!4d-104.7762331!16s%2Fg%2F1tdrxs1l!19sChIJzVfqbeBOE4cRuOkgYpdkL74?authuser=0&hl=en&rclk=1
Solista Colorado Springs,4.2,,Retirement community,5820 Flintridge Dr,,Open 24 hours,https://cogirusa.com/communities/solista-colorado-springs/,https://www.google.com/maps/place/Solista+Colorado+Springs/data=!4m7!3m6!1s0x87134ed83eb84981:0x318c5d207a6c4ab7!8m2!3d38.9159423!4d-104.7650835!16s%2Fg%2F1ts3g1ts!19sChIJgUm4PthOE4cRt0pseiBdjDE?authuser=0&hl=en&rclk=1
Crestview Assisted Living,4.0,,Assisted living facility,1414 N Hancock Ave,,Open · Closes 5 PM,https://crestviewcare.com/,https://www.google.com/maps/place/Crestview+Assisted+Living/data=!4m7!3m6!1s0x871345e11f71a499:0xe3f41a32fd05d830!8m2!3d38.8531817!4d-104.8033788!16s%2Fg%2F11ghpsy0rf!19sChIJmaRxH-FFE4cRMNgF_TIa9OM?authuser=0&hl=en&rclk=1
Brookdale Broadmoor,3.6,,Assisted living facility,615 Southpointe Ct,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-broadmoor.html?cid=yext,https://www.google.com/maps/place/Brookdale+Broadmoor/data=!4m7!3m6!1s0x87134497443d792f:0x249c56c817e5fc8a!8m2!3d38.7961119!4d-104.81728!16s%2Fg%2F1wg5yg72!19sChIJL3k9RJdEE4cRivzlF8hWnCQ?authuser=0&hl=en&rclk=1
Sunny Vista Living Center,3.6,,Retirement community,2445 E Cache La Poudre St,,Open 24 hours,https://www.sunnyvista.org/,https://www.google.com/maps/place/Sunny+Vista+Living+Center/data=!4m7!3m6!1s0x871345bb80a116f9:0xd14a40ec96b06fd9!8m2!3d38.8445928!4d-104.7840276!16s%2Fg%2F1263521cx!19sChIJ-RahgLtFE4cR2W-wluxAStE?authuser=0&hl=en&rclk=1
