name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Solstice Senior Living at Rio Norte,4.6,,Retirement community,1941 Saul Kleinfeld Dr,,Open · Closes 6 PM,https://solsticeseniorlivingelpaso.com/,https://www.google.com/maps/place/Solstice+Senior+Living+at+Rio+Norte/data=!4m7!3m6!1s0x86e744685e4228ff:0x9d4897818d67c2f!8m2!3d31.7687095!4d-106.2863256!16s%2Fg%2F1tzgpnr8!19sChIJ_yhCXmhE54YRL3zWGHiJ1Ak?authuser=0&hl=en&rclk=1
The Legacy at Cimarron,4.8,,Assisted living facility,6201 Northern Pass Dr,,Open 24 hours,https://www.pegasusseniorliving.com/the-legacy-at-cimarron-in-el-paso,https://www.google.com/maps/place/The+Legacy+at+Cimarron/data=!4m7!3m6!1s0x86ddf8b670e4714b:0x86279e23ebc04eec!8m2!3d31.8842071!4d-106.5561384!16s%2Fg%2F11c5s5kf_4!19sChIJS3HkcLb43YYR7E7A6yOeJ4Y?authuser=0&hl=en&rclk=1
The MonteVista at Coronado Assisted & Senior Living,4.3,,Assisted living facility,1575 Belvidere St,,Open 24 hours,https://stellarliving.com/communities/montevista-at-coronado-assisted-senior-living-el-paso-tx/,https://www.google.com/maps/place/The+MonteVista+at+Coronado+Assisted+%26+Senior+Living/data=!4m7!3m6!1s0x86e75631dd1152b7:0x7c0cf3d50dabe9b!8m2!3d31.8579143!4d-106.5225148!16s%2Fg%2F1v6qj1s7!19sChIJt1IR3TFW54YRm77aUD3PwAc?authuser=0&hl=en&rclk=1
Simpatico Cielo Vista Senior Living,4.7,,Assisted living facility,7949 Sunmount Dr,,Open 24 hours,https://simpaticoelpaso.com/,https://www.google.com/maps/place/Simpatico+Cielo+Vista+Senior+Living/data=!4m7!3m6!1s0x86e75afd66db4177:0x3fb4ff769d9ebde!8m2!3d31.781057!4d-106.383399!16s%2Fg%2F1tgpbqpk!19sChIJd0HbZv1a54YR3uvZafdP-wM?authuser=0&hl=en&rclk=1
Good Life Assisted Living and Memory Care El Paso,3.4,,Assisted living facility,10400 Railroad Dr,,Open 24 hours,http://www.goodlifeseniorliving.com/,https://www.google.com/maps/place/Good+Life+Assisted+Living+and+Memory+Care+El+Paso/data=!4m7!3m6!1s0x86e752241df46209:0x78d00a7f2358199e!8m2!3d31.9180059!4d-106.3775847!16s%2Fg%2F11bt_nx3cf!19sChIJCWL0HSRS54YRnhlYI38K0Hg?authuser=0&hl=en&rclk=1
The Bartlett Skilled Nursing and Assisted Living,4.0,,Assisted living facility,221 Bartlett Dr,,Open · Closes 5 PM,http://www.bartletthealth.com/,https://www.google.com/maps/place/The+Bartlett+Skilled+Nursing+and+Assisted+Living/data=!4m7!3m6!1s0x86ddf858549981d9:0xbd55e80e1ea0abb9!8m2!3d31.8422641!4d-106.5675621!16s%2Fg%2F1tg_ghgk!19sChIJ2YGZVFj43YYRuaugHg7oVb0?authuser=0&hl=en&rclk=1
Villas Del Sol Assisted Living,3.2,,Assisted living facility,520 E Rd,,Open 24 hours,,https://www.google.com/maps/place/Villas+Del+Sol+Assisted+Living/data=!4m7!3m6!1s0x86e75d2e33c6b83d:0xa53196bc0ba2f5e0!8m2!3d31.7360596!4d-106.3581982!16s%2Fg%2F11gmvwkfxv!19sChIJPbjGMy5d54YR4PWiC7yWMaU?authuser=0&hl=en&rclk=1
Simpatico East Senior Living,4.1,,Assisted living facility,1991 Saul Kleinfeld Dr,,Open 24 hours,https://simpaticoelpaso.com/,https://www.google.com/maps/place/Simpatico+East+Senior+Living/data=!4m7!3m6!1s0x86e7446840443c77:0xafeb84a7a272132c!8m2!3d31.7697296!4d-106.2859191!16s%2Fg%2F1hc5dnddy!19sChIJdzxEQGhE54YRLBNyoqeE668?authuser=0&hl=en&rclk=1
VibraLife El Paso now Ignite Medical Resorts,2.9,,Assisted living facility,3421 Joe Battle Blvd,,Open · Closes 8 PM,http://www.ignitemedicalresorts.com/,https://www.google.com/maps/place/VibraLife+El+Paso+now+Ignite+Medical+Resorts/data=!4m7!3m6!1s0x86e744335b408699:0x8676b3299e82a115!8m2!3d31.794618!4d-106.269181!16s%2Fg%2F11g8v53jld!19sChIJmYZAWzNE54YRFaGCnimzdoY?authuser=0&hl=en&rclk=1
Serenity House Assisted Living,4.1,,Assisted living facility,4200 Skyline Ave,,,https://www.serenity-house.com/,https://www.google.com/maps/place/Serenity+House+Assisted+Living/data=!4m7!3m6!1s0x86e756d36eede5ab:0x77ab6d4a0fd7806!8m2!3d31.8678924!4d-106.4425743!16s%2Fg%2F1tj5llx3!19sChIJq-XtbtNW54YRBnj9oNS2egc?authuser=0&hl=en&rclk=1
