name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Greenwood Village South,5.0,,Retirement community,295 Village Ln,,Open 24 hours,http://www.greenwoodvillagesouth.com/,https://www.google.com/maps/place/Greenwood+Village+South/data=!4m7!3m6!1s0x886b5d4f44093155:0x8b8aa3c1f51a52d!8m2!3d39.6011511!4d-86.1026423!16s%2Fg%2F1wc31_bg!19sChIJVTEJRE9da4gRLaVRHzyquAg?authuser=0&hl=en&rclk=1
Summit Place West,4.8,,Assisted living facility,55 Mission Dr,,Open 24 hours,https://www.facebook.com/Summitplacewest/,https://www.google.com/maps/place/Summit+Place+West/data=!4m7!3m6!1s0x886ca80da34ef17b:0xc570a40f3d59f95a!8m2!3d39.7659635!4d-86.2734782!16s%2Fg%2F1tjypg9l!19sChIJe_FOow2obIgRWvlZPQ-kcMU?authuser=0&hl=en&rclk=1
The Stratford,4.9,,Retirement community,2460 Glebe St,,Open 24 hours,https://stratford-living.com/,https://www.google.com/maps/place/The+Stratford/data=!4m7!3m6!1s0x8814ac6fffffffff:0x78f0d63a2a605bae!8m2!3d39.9732987!4d-86.2037203!16s%2Fg%2F1tc_x645!19sChIJ_____2-sFIgRrltgKjrW8Hg?authuser=0&hl=en&rclk=1
The Reserve at Hamilton Trace,5.0,,Retirement community,9974 Federalist Dr,,Closes soon · Opens 8 AM Tue,https://cardon.us/communities/hamilton-trace/independent-living/,https://www.google.com/maps/place/The+Reserve+at+Hamilton+Trace/data=!4m7!3m6!1s0x8814b46741fb7c73:0xcff96fa58f24a783!8m2!3d39.9597259!4d-85.9911299!16s%2Fg%2F11bv39_191!19sChIJc3z7QWe0FIgRg6ckj6Vv-c8?authuser=0&hl=en&rclk=1
Bishop Joseph D Farris Senior Living Center,4.0,,Senior citizen center,4025 N Sherman Dr,,Open 24 hours,,https://www.google.com/maps/place/Bishop+Joseph+D+Farris+Senior+Living+Center/data=!4m7!3m6!1s0x886b51f9f339d15f:0x2fd198bbfb2f2a2e!8m2!3d39.8307729!4d-86.10192!16s%2Fg%2F1vmr23f2!19sChIJX9E58_lRa4gRLiov-7uY0S8?authuser=0&hl=en&rclk=1
Westside Garden Plaza,4.4,,Assisted living facility,8616 West 10th Street,,Open 24 hours,/aclk?sa=L&ai=DChsSEwixzJm1iYqVAxWAckcBHT7dBKEYACICCAEQAhoCcXU&co=1&ase=2&gclid=EAIaIQobChMIscyZtYmKlQMVgHJHAR0-3QShEBAYAiAAEgKOpfD_BwE&cid=CAASuwHkaDhb55tA-jmRGmBbFePQfLmPXxMiIbFYpCDCUAtMET_e6mHpc_vInVsrT8ZyHl6mObT71MWTREwV8RdCTWsuMNxU0TXcmtd6mcx1U16-0-JJEC9qnHGb0iG2iSE_dgu-CVJBLCbP7Pd46olCRc1i1QMDMUc9yYK0-OlyhWvHrWBRgzY2Gjawxd5iYcYoSUOLU2fiQq4K4uiMM-79LjCFBx7XcGKBsdqatKUIAGdpUHYUF9SpSx-a6qs6&cce=2&category=acrcp_v1_32&sig=AOD64_1p6Zra0pQxpPBZSiMgrQU4YSXtjg&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/Westside+Garden+Plaza/data=!4m7!3m6!1s0x886ca894b51fb087:0x145434da2144cd80!8m2!3d39.784672!4d-86.313786!16s%2Fg%2F1tdvqh61!19sChIJh7AftZSobIgRgM1EIdo0VBQ?authuser=0&hl=en&rclk=1
Pinnacle West,4.1,,Apartment building,230 Welcome Wy Blvd W,,Closes soon · Opens 8 AM Tue,https://pinnaclewestin.com/?lvcode=1201609,https://www.google.com/maps/place/Pinnacle+West/data=!4m7!3m6!1s0x886ca863143cf2e7:0x9b58e15ff085c517!8m2!3d39.7700403!4d-86.2929791!16s%2Fg%2F1w6r90gr!19sChIJ5_I8FGOobIgRF8WF8F_hWJs?authuser=0&hl=en&rclk=1
Woodland Terrace Danville,4.8,,Assisted living facility,200 Arbor Ln,,Open · Closes 8 PM,https://npseniorliving.com/communities/danville/?utm_campaign=danville&utm_source=googlemybusiness&utm_medium=organic,https://www.google.com/maps/place/Woodland+Terrace+Danville/data=!4m7!3m6!1s0x886cbb53ed3d8c4b:0x4a42cb50575e4d4a!8m2!3d39.7602027!4d-86.480672!16s%2Fg%2F11h4zrr3zt!19sChIJS4w97VO7bIgRSk1eV1DLQko?authuser=0&hl=en&rclk=1
Hoosier Village Community Center,5.0,,Retirement community,9909 Purple Plum Ln,,Open · Closes 8 PM,https://www.hoosiervillage.com/,https://www.google.com/maps/place/Hoosier+Village+Community+Center/data=!4m7!3m6!1s0x8814aaa87b1d4d4d:0x7a527c4d0f561aab!8m2!3d39.9306919!4d-86.2547052!16s%2Fg%2F11hcy_mrjz!19sChIJTU0de6iqFIgRqxpWD018Uno?authuser=0&hl=en&rclk=1
Benjamin Court,4.1,,Retirement community,5810 Lee Rd,,Closes soon · Opens 9 AM Tue,https://www.benjamincourt.com/?utm_source=GBP&utm_medium=organic,https://www.google.com/maps/place/Benjamin+Court/data=!4m7!3m6!1s0x886b4b8f8fdbc9f5:0x926c82593a18eda7!8m2!3d39.8606613!4d-86.0017775!16s%2Fg%2F1vq9n0hk!19sChIJ9cnbj49La4gRp-0YOlmCbJI?authuser=0&hl=en&rclk=1
Independence Village of Avon (Prestwick),4.2,,Assisted living facility,182 S County Rd 550 E,,Open 24 hours,https://storypoint.com/community/avon-in/?utm_source=gmb&utm_medium=organic,https://www.google.com/maps/place/Independence+Village+of+Avon+%28Prestwick%29/data=!4m7!3m6!1s0x886ca89b25c2ec7b:0xf7af6ff0cb0762d9!8m2!3d39.7590118!4d-86.4299072!16s%2Fg%2F1tgm3m0s!19sChIJe-zCJZuobIgR2WIHy_Bvr_c?authuser=0&hl=en&rclk=1
Encore 55+ Boutique Apartments - Northeast,4.7,,Retirement community,6675 E 75th St,,Closes soon · Opens 1 PM Tue,https://liveencore.com/northeast,https://www.google.com/maps/place/Encore+55%2B+Boutique+Apartments+-+Northeast/data=!4m7!3m6!1s0x886b4d67adc0840d:0x4fc588d3195df794!8m2!3d39.8900463!4d-86.0533291!16s%2Fg%2F11jcq_zr2l!19sChIJDYTArWdNa4gRlPddGdOIxU8?authuser=0&hl=en&rclk=1
Independence Village Fishers East,4.3,,Retirement community,12950 Talblick St,,Open 24 hours,https://storypoint.com/community/fishers-east-in/?utm_source=gmb&utm_medium=organic,https://www.google.com/maps/place/Independence+Village+Fishers+East/data=!4m7!3m6!1s0x8814ca071bc8d507:0x1376c7b72f845e44!8m2!3d39.9855588!4d-85.9335067!16s%2Fg%2F11cn31whby!19sChIJB9XIGwfKFIgRRF6EL7fHdhM?authuser=0&hl=en&rclk=1
Wyndham Hall Senior,4.4,,Apartment rental agency,1910 Wellesley Blvd,,Closes soon · Opens 10 AM Tue,https://www.wyndhamhall.com/,https://www.google.com/maps/place/Wyndham+Hall+Senior/data=!4m7!3m6!1s0x886b4ee09f1b3c91:0x7087deadc3cc231!8m2!3d39.7939522!4d-86.0325944!16s%2Fg%2F1tczl6mj!19sChIJkTwbn-BOa4gRMcI83Op9CAc?authuser=0&hl=en&rclk=1
King's Reserve College Park,4.5,,Apartment complex,8810 Colby Blvd,,Closes soon · Opens 8 AM Tue,https://kingsreservecollegepark.com/,https://www.google.com/maps/place/King%27s+Reserve+College+Park/data=!4m7!3m6!1s0x886b5568be2f3d85:0xac19663c87772e5f!8m2!3d39.9162526!4d-86.2165062!16s%2Fg%2F11g_x0x1q_!19sChIJhT0vvmhVa4gRXy53hzxmGaw?authuser=0&hl=en&rclk=1
Beech Grove Meadows,2.7,,Nursing home,2002 Albany St,,Open 24 hours,https://asccare.com/community/beech-grove-meadows/,https://www.google.com/maps/place/Beech+Grove+Meadows/data=!4m7!3m6!1s0x886b5ac5a10f0d49:0xfac4e04de6ac2229!8m2!3d39.7239494!4d-86.1055526!16s%2Fg%2F1tgptc3h!19sChIJSQ0PocVaa4gRKSKs5k3gxPo?authuser=0&hl=en&rclk=1
