name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Silverado North Shore Memory Care Community,4.8,,Assisted living facility,7800 N Green Bay Rd,,Open 24 hours,http://www.silverado.com/locations/north-shore/,https://www.google.com/maps/place/Silverado+North+Shore+Memory+Care+Community/data=!4m7!3m6!1s0x8804e3ed64d27fbf:0x8b7c5a891b245c10!8m2!3d43.1597491!4d-87.9456508!16s%2Fg%2F11f7r3yq4m!19sChIJv3_SZO3jBIgREFwkG4lafIs?authuser=0&hl=en&rclk=1
Discovery Commons North Shore,4.5,,Assisted living facility,100 W River Woods Pkwy,,Open 24 hours,https://discoverycommonsnorthshore.com/,https://www.google.com/maps/place/Discovery+Commons+North+Shore/data=!4m7!3m6!1s0x88051f16ed20cf29:0x8ba466b8f7618141!8m2!3d43.0979614!4d-87.9094848!16s%2Fg%2F11fflxc9qp!19sChIJKc8g7RYfBYgRQYFh97hmpIs?authuser=0&hl=en&rclk=1
Home Sweet Home Assisted Living LLC,5.0,,Assisted living facility,2333 W Lancaster Ave,,Open 24 hours,http://homesweethomeassistedliving.com/,https://www.google.com/maps/place/Home+Sweet+Home+Assisted+Living+LLC/data=!4m7!3m6!1s0x88051d0004562547:0x53b5ecef6ff085c7!8m2!3d43.1099736!4d-87.9412244!16s%2Fg%2F11jff7pym3!19sChIJRyVWBAAdBYgRx4Xwb-_stVM?authuser=0&hl=en&rclk=1
Azura Memory Care in Fox Point,4.8,,Assisted living facility,7770 N Port Washington Rd,,Open 24 hours,https://azuraliving.com/locations/fox-point/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Azura+Memory+Care+in+Fox+Point/data=!4m7!3m6!1s0x8804e132d9d87871:0xa883e022347d8bec!8m2!3d43.1574916!4d-87.9118976!16s%2Fg%2F11fp3xn8lt!19sChIJcXjY2TLhBIgR7It9NCLgg6g?authuser=0&hl=en&rclk=1
St Camillus,3.8,,Assisted living facility,10101 W Wisconsin Ave,,Open · Closes 5 PM,http://www.stcam.com/,https://www.google.com/maps/place/St+Camillus/data=!4m7!3m6!1s0x8805051cf63d692f:0xc6c71802d53b68ed!8m2!3d43.0369747!4d-88.0386852!16s%2Fg%2F1tf8tn_2!19sChIJL2k99hwFBYgR7Wg71QIYx8Y?authuser=0&hl=en&rclk=1
Ciel of Shorewood,3.7,,Assisted living facility,1111 E Capitol Dr,,Open · Closes 7 PM,https://cielseniorliving.com/shorewood/?utm_campaign=gmb,https://www.google.com/maps/place/Ciel+of+Shorewood/data=!4m7!3m6!1s0x88051ed9cad9d003:0xe26d5734fc2723c9!8m2!3d43.0885533!4d-87.8960329!16s%2Fg%2F11b7hdh45y!19sChIJA9DZytkeBYgRySMn_DRXbeI?authuser=0&hl=en&rclk=1
Lakewood Memory Care & Assisted Living,4.9,,Assisted living facility,4065 N Calhoun Rd,,Open 24 hours,https://www.lakewoodbrookfield.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Lakewood+Memory+Care+%26+Assisted+Living/data=!4m7!3m6!1s0x880501287f8170af:0x96a3d2a463991c8c!8m2!3d43.091263!4d-88.125943!16s%2Fg%2F11f3qx51hk!19sChIJr3CBfygBBYgRjByZY6TSo5Y?authuser=0&hl=en&rclk=1
Golden Oaks Terrace LLC,5.0,,Assisted living facility,10135 W Hampton Ave,,Open · Closes 5 PM,,https://www.google.com/maps/place/Golden+Oaks+Terrace+LLC/data=!4m7!3m6!1s0x88050359ae629a45:0xf6298a7fc9508137!8m2!3d43.1046023!4d-88.0394676!16s%2Fg%2F11t5dhm87m!19sChIJRZpirlkDBYgRN4FQyX-KKfY?authuser=0&hl=en&rclk=1
Azura Memory Care & Assisted Living in Brookfield,4.3,,Assisted living facility,16030 Washington Dr,,Open 24 hours,https://azuraliving.com/locations/brookfield/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Azura+Memory+Care+%26+Assisted+Living+in+Brookfield/data=!4m7!3m6!1s0x880501b2626ae9c9:0x4df39dcb45ede87f!8m2!3d43.0913238!4d-88.1117675!16s%2Fg%2F11j0byf92d!19sChIJyelqYrIBBYgRf-jtRcud800?authuser=0&hl=en&rclk=1
The Auberge at Oak Village,4.7,,Assisted living facility,"W128 N6900, Northfield Dr",,Open 24 hours,https://aubergeoakvillage.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=oak-village,https://www.google.com/maps/place/The+Auberge+at+Oak+Village/data=!4m7!3m6!1s0x88050312a3cdc36d:0x2ce8351232b5f2bf!8m2!3d43.1427362!4d-88.0699828!16s%2Fg%2F11hz28tbkd!19sChIJbcPNoxIDBYgRv_K1MhI16Cw?authuser=0&hl=en&rclk=1
