name,rating,reviews,category,address_lane1,phone,status,website,maps_url
"Brightview Mays Chapel Ridge - Timonium Independent Living, Assisted Living, Memory Care",4.6,,Retirement community,12261 Roundwood Rd,,Open 24 hours,http://www.brightviewmayschapelridge.com/,"https://www.google.com/maps/place/Brightview+Mays+Chapel+Ridge+-+Timonium+Independent+Living,+Assisted+Living,+Memory+Care/data=!4m7!3m6!1s0x89c8122033c88785:0x70a4ea03c38bfabb!8m2!3d39.4591237!4d-76.6657702!16s%2Fg%2F1wn_71r1!19sChIJhYfIMyASyIkRu_qLwwPqpHA?authuser=0&hl=en&rclk=1"
Westminster House Senior Apartments,3.7,,Apartment complex,524 N Charles St,,Closes soon · Opens 9 AM Tue,http://westminsterhouseapts.com/,https://www.google.com/maps/place/Westminster+House+Senior+Apartments/data=!4m7!3m6!1s0x89c8049850a46ec5:0x90530f6d49e7386!8m2!3d39.296167!4d-76.6159658!16s%2Fg%2F1vnrrl01!19sChIJxW6kUJgEyIkRhnOe1PYwBQk?authuser=0&hl=en&rclk=1
Pickersgill Retirement Community,4.0,,Retirement community,615 Chestnut Ave,,Open 24 hours,http://pickersgillretirement.org/,https://www.google.com/maps/place/Pickersgill+Retirement+Community/data=!4m7!3m6!1s0x89c80fc95a32c763:0xc30f19cb21b176d1!8m2!3d39.4050716!4d-76.6222586!16s%2Fg%2F1tm13kx2!19sChIJY8cyWskPyIkR0XaxIcsZD8M?authuser=0&hl=en&rclk=1
Oak Crest Senior Living Community,3.4,,Assisted living facility,8820 Walther Blvd,,Closes soon · Opens 9 AM Tue,https://www.ericksonliving.com/oak-crest,https://www.google.com/maps/place/Oak+Crest+Senior+Living+Community/data=!4m7!3m6!1s0x89c808fedb2a478f:0x677bc305ec7e6188!8m2!3d39.3927039!4d-76.5063351!16s%2Fg%2F1tdg45bz!19sChIJj0cq2_4IyIkRiGF-7AXDe2c?authuser=0&hl=en&rclk=1
Mercy Ridge,4.9,,Retirement community,2525 Pot Spring Rd,,Open 24 hours,https://www.mercyridge.com/,https://www.google.com/maps/place/Mercy+Ridge/data=!4m7!3m6!1s0x89c80dd22482bec9:0x3a4fcc389760e4d6!8m2!3d39.4581907!4d-76.6001898!16s%2Fg%2F1td6nmgn!19sChIJyb6CJNINyIkR1uRglzjMTzo?authuser=0&hl=en&rclk=1
Brightwood,4.8,,Retirement community,100 Brightwood Clb Dr,,Open 24 hours,https://brightwoodliving.org/,https://www.google.com/maps/place/Brightwood/data=!4m7!3m6!1s0x89c810462d3cca27:0xc74753c21cb0b2c5!8m2!3d39.4052631!4d-76.6672615!16s%2Fg%2F11c6_j9vp4!19sChIJJ8o8LUYQyIkRxbKwHMJTR8c?authuser=0&hl=en&rclk=1
"Brightview Perry Hall - Senior Independent Living, Assisted Living, Memory Care",4.7,,Retirement community,9657 Belair Rd,,Open 24 hours,http://www.brightviewperryhall.com/,"https://www.google.com/maps/place/Brightview+Perry+Hall+-+Senior+Independent+Living,+Assisted+Living,+Memory+Care/data=!4m7!3m6!1s0x89c809e11993ac07:0x499abbcce8d8c91!8m2!3d39.4135918!4d-76.4581537!16s%2Fg%2F1jky187qz!19sChIJB6yTGeEJyIkRkYyNzryrmQQ?authuser=0&hl=en&rclk=1"
North Oaks,4.5,,Retirement community,725 Mt Wilson Ln,,Open 24 hours,https://northoaksseniorliving.com/?gad_source=1&gclid=EAIaIQobChMIwYGClJbdggMVRe_ICh3xOAisEAAYASAAEgIsVfD_BwE,https://www.google.com/maps/place/North+Oaks/data=!4m7!3m6!1s0x89c81951fbfc0443:0xb75db38de2506b41!8m2!3d39.3815881!4d-76.7642333!16s%2Fg%2F11vll9_fbq!19sChIJQwT8-1EZyIkRQWtQ4o2zXbc?authuser=0&hl=en&rclk=1
Saint Paul’s Assisted Living Facility,5.0,,Assisted living facility,2128 St Paul St,,Open · Closes 8 PM,https://www.ssmaps.com/how-to-start-an-assisted-living-facility/,https://www.google.com/maps/place/Saint+Paul%E2%80%99s+Assisted+Living+Facility/data=!4m7!3m6!1s0x89c804e9832b4ed9:0xecc3e7dae5613a2!8m2!3d39.3141717!4d-76.6153001!16s%2Fg%2F1hfhjvj5z!19sChIJ2U4rg-kEyIkRohNWrn0-zA4?authuser=0&hl=en&rclk=1
The Greens at Irvington Mews,3.4,,Apartment building,4300 Frederick Ave,,Closed · Opens 9 AM Tue,https://greensatirvingtownmews.enterpriseresidential.org/,https://www.google.com/maps/place/The+Greens+at+Irvington+Mews/data=!4m7!3m6!1s0x89c81c89f01d13ad:0x2a10b71c4b4fccd1!8m2!3d39.281845!4d-76.6875534!16s%2Fg%2F12hnp49r7!19sChIJrRMd8IkcyIkR0cxPSxy3ECo?authuser=0&hl=en&rclk=1
HeartLands Senior Living at Ellicott City,4.6,,Assisted living facility,3004 N Ridge Rd,,Closes soon · Opens 9 AM Tue,https://heartlandsatellicottcity.seniorlivingnearme.com/,https://www.google.com/maps/place/HeartLands+Senior+Living+at+Ellicott+City/data=!4m7!3m6!1s0x89c81f5e222f32bd:0x3f1a10f5dc12a980!8m2!3d39.2910104!4d-76.8216888!16s%2Fg%2F1tg_y1b5!19sChIJvTIvIl4fyIkRgKkS3PUQGj8?authuser=0&hl=en&rclk=1
Harry and Jeanette Weinberg Court Apartments (Seniors 62+),4.8,,Apartment building,1020 E 33rd St,,Closed · Opens 9 AM Tue,https://www.habitatamerica.com/harry-and-jeanette-weinberg-court-apartments/default,https://www.google.com/maps/place/Harry+and+Jeanette+Weinberg+Court+Apartments+%28Seniors+62%2B%29/data=!4m7!3m6!1s0x89c8050179cd50c9:0x530033b8b88e8733!8m2!3d39.3297735!4d-76.6005106!16s%2Fg%2F1tf6n4_q!19sChIJyVDNeQEFyIkRM4eOuLgzAFM?authuser=0&hl=en&rclk=1
Weinberg Manor East,3.3,,Apartment complex,3601 Fords Ln,,Closes soon · Opens 9 AM Tue,http://weinbergmanorsapts.com/,https://www.google.com/maps/place/Weinberg+Manor+East/data=!4m7!3m6!1s0x89c81a678d6d53db:0x8795a4742628ab8!8m2!3d39.3591144!4d-76.6970743!16s%2Fg%2F11gz8zcsp!19sChIJ21NtjWcayIkRuIpiQkdaeQg?authuser=0&hl=en&rclk=1
Blakehurst,4.6,,Retirement community,1055 W Joppa Rd,,Open 24 hours,http://www.blakehurstlcs.com/?utm_campaign=gmb&utm_content=business_profile_link&utm_id=dir_gbp_organic&utm_medium=directory&utm_source=gbp,https://www.google.com/maps/place/Blakehurst/data=!4m7!3m6!1s0x89c80fcb5df5b22f:0x3019fd689abab21c!8m2!3d39.4097132!4d-76.6249027!16s%2Fg%2F1v27wgf6!19sChIJL7L1XcsPyIkRHLK6mmj9GTA?authuser=0&hl=en&rclk=1
Weinberg Place,4.1,,Apartment complex,2500 W Belvedere Ave,,Closes soon · Opens 8:30 AM Tue,https://weinbergplace.com/,https://www.google.com/maps/place/Weinberg+Place/data=!4m7!3m6!1s0x89c81aeae3a658ff:0x413fbbba448bbbe6!8m2!3d39.3536497!4d-76.6669444!16s%2Fg%2F1wj_v76l!19sChIJ_1im4-oayIkR5ruLRLq7P0E?authuser=0&hl=en&rclk=1
Glen Meadows Retirement Community,4.4,,Retirement community,11630 Glen Arm Rd,,Open 24 hours,https://www.presbyterianseniorliving.org/glen-meadows-retirement-community,https://www.google.com/maps/place/Glen+Meadows+Retirement+Community/data=!4m7!3m6!1s0x89c80bda195e19c3:0x8e3bd54d09eaa75b!8m2!3d39.4477423!4d-76.5172021!16s%2Fg%2F1vg_8806!19sChIJwxleGdoLyIkRW6fqCU3VO44?authuser=0&hl=en&rclk=1
Lighthouse Senior Living at Ellicott City,4.4,,Retirement community,3100 N Ridge Rd,,Open 24 hours,https://www.lighthouseseniorliving.com/communities/ellicott-city,https://www.google.com/maps/place/Lighthouse+Senior+Living+at+Ellicott+City/data=!4m7!3m6!1s0x89c81f6161938f31:0x1f86c75b3c1e491b!8m2!3d39.2865002!4d-76.8221709!16s%2Fg%2F1tdgqt03!19sChIJMY-TYWEfyIkRG0kePFvHhh8?authuser=0&hl=en&rclk=1
SUMMIT VIEW ASSISTED LIVING,5.0,,Assisted living facility,2409 Roslyn Ave,,Closes soon · Opens 9 AM Tue,http://svaliving.com/?utm_source=gmb&utm_medium=referral,https://www.google.com/maps/place/SUMMIT+VIEW+ASSISTED+LIVING/data=!4m7!3m6!1s0x89c81b308af26779:0x2b2c484a943d4ff4!8m2!3d39.3159645!4d-76.6778762!16s%2Fg%2F11j3sf2r2g!19sChIJeWfyijAbyIkR9E89lEpILCs?authuser=0&hl=en&rclk=1
