name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Mabel's House Assisted Living,5.0,,Assisted living facility,4205 Liberty Heights Ave,,,https://mabelshousealf.com/,https://www.google.com/maps/place/Mabel%27s+House+Assisted+Living/data=!4m7!3m6!1s0x89c81ba8465e927d:0x888c48679f1b5ac7!8m2!3d39.3289792!4d-76.6891524!16s%2Fg%2F11c1r044n2!19sChIJfZJeRqgbyIkRx1obn2dIjIg?authuser=0&hl=en&rclk=1
Woodholme Gardens,4.3,,Assisted living facility,1700 Woodholme Ave,,Open 24 hours,https://elegance-living.com/senior-living/md/pikesville/woodholme-gardens/,https://www.google.com/maps/place/Woodholme+Gardens/data=!4m7!3m6!1s0x89c81a13e57e0889:0xfd13dd92e4f5febc!8m2!3d39.3778804!4d-76.7430161!16s%2Fg%2F1vfp957_!19sChIJiQh-5RMayIkRvP715JLdE_0?authuser=0&hl=en&rclk=1
Brightview Catonsville - Senior Assisted Living & Memory Care,4.7,,Assisted living facility,912 S Rolling Rd,,Open 24 hours,https://www.brightviewseniorliving.com/find-a-community/brightview-catonsville,https://www.google.com/maps/place/Brightview+Catonsville+-+Senior+Assisted+Living+%26+Memory+Care/data=!4m7!3m6!1s0x89c81dd09316db61:0xc2ef3e2ff3772adb!8m2!3d39.250906!4d-76.7259232!16s%2Fg%2F1tdcy1cx!19sChIJYdsWk9AdyIkR2yp38y8-78I?authuser=0&hl=en&rclk=1
Inspirations Memory Care of Lutherville,3.8,,Assisted living facility,1414 Front Ave,,Open 24 hours,https://inspired-joy.com/,https://www.google.com/maps/place/Inspirations+Memory+Care+of+Lutherville/data=!4m7!3m6!1s0x89c80e2f9e59b533:0xc934b0f2aff99229!8m2!3d39.4212608!4d-76.6323852!16s%2Fg%2F1tfxhnfx!19sChIJM7VZni8OyIkRKZL5r_KwNMk?authuser=0&hl=en&rclk=1
"Waterfalls of Catonsville, Memory Care Home",3.7,,Assisted living facility,305 Rolling Rd.,,,http://waterfallsofcatonsville.com/,"https://www.google.com/maps/place/Waterfalls+of+Catonsville,+Memory+Care+Home/data=!4m7!3m6!1s0x89c81ffe2265bc29:0xa32ca6dcbb94c8ff!8m2!3d39.2774403!4d-76.7539173!16s%2Fg%2F11hdjddnz9!19sChIJKbxlIv4fyIkR_8iUu9ymLKM?authuser=0&hl=en&rclk=1"
Paradise Assisted Living & Memory Care,3.9,,Assisted living facility,6348 Frederick Rd,,,http://paradiseassistedliving.com/,https://www.google.com/maps/place/Paradise+Assisted+Living+%26+Memory+Care/data=!4m7!3m6!1s0x89c81c3e85211577:0x7bbb6a718a1c423a!8m2!3d39.2765437!4d-76.7159489!16s%2Fg%2F1tgvfln4!19sChIJdxUhhT4cyIkROkIcinFqu3s?authuser=0&hl=en&rclk=1
Inspirations Assisted Living & Memory Care of Linthicum,4.8,,Assisted living facility,804 S Camp Meade Rd,,Open 24 hours,http://inspired-joy.com/,https://www.google.com/maps/place/Inspirations+Assisted+Living+%26+Memory+Care+of+Linthicum/data=!4m7!3m6!1s0x89b7e2beabdd9a4d:0x4784279992a18fa1!8m2!3d39.1965306!4d-76.6587331!16s%2Fg%2F1tf6spr8!19sChIJTZrdq77it4kRoY-hkpknhEc?authuser=0&hl=en&rclk=1
"Brightview Rolling Hills - Senior Independent, Assisted Living, Memory Care",4.6,,Nursing home,848 S Rolling Rd,,Open 24 hours,https://www.brightviewseniorliving.com/find-a-community/brightview-rolling-hills,"https://www.google.com/maps/place/Brightview+Rolling+Hills+-+Senior+Independent,+Assisted+Living,+Memory+Care/data=!4m7!3m6!1s0x89c81dd13ea0bfe1:0x4f79312a5e2cfc3f!8m2!3d39.2539557!4d-76.7280522!16s%2Fg%2F1pxwmnv1b!19sChIJ4b-gPtEdyIkRP_wsXioxeU8?authuser=0&hl=en&rclk=1"
A Good Life Assisted Living,5.0,,Assisted living facility,731 Hollen Rd,,Open · Closes 7 PM,http://www.agoodlifeassistedliving.com/,https://www.google.com/maps/place/A+Good+Life+Assisted+Living/data=!4m7!3m6!1s0x89c80f6c3dd9b443:0x9e5350edb5c6de46!8m2!3d39.3706599!4d-76.6033739!16s%2Fg%2F11n6d9sknd!19sChIJQ7TZPWwPyIkRRt7Gte1QU54?authuser=0&hl=en&rclk=1
Tranquility Assisted Living Facility,5.0,,Assisted living facility,3928 Annellen Rd,,Open 24 hours,https://www.tranquilityassistedlivingfclty.com/,https://www.google.com/maps/place/Tranquility+Assisted+Living+Facility/data=!4m7!3m6!1s0x24944f8dbc30374f:0xceb2d2dcdab178bb!8m2!3d39.3323249!4d-76.6701272!16s%2Fg%2F11xftb3vv7!19sChIJTzcwvI1PlCQRu3ix2tzSss4?authuser=0&hl=en&rclk=1
Family Ties Assisted Living,4.3,,Assisted living facility,4202 Kolb Ave,,Open 24 hours,,https://www.google.com/maps/place/Family+Ties+Assisted+Living/data=!4m7!3m6!1s0x89c80717e7a27ea3:0x41628299bcef308d!8m2!3d39.3530746!4d-76.5316219!16s%2Fg%2F11qg1k_mr1!19sChIJo36i5xcHyIkRjTDvvJmCYkE?authuser=0&hl=en&rclk=1
The Nursing and Rehab Center at Stadium Place,4.1,,Nursing home,1010 E 33rd St,,Open · Closes 8 PM,http://stadiumhc.com/,https://www.google.com/maps/place/The+Nursing+and+Rehab+Center+at+Stadium+Place/data=!4m7!3m6!1s0x89c805026a932a97:0xc5e1700a5cf68364!8m2!3d39.3291973!4d-76.6009353!16s%2Fg%2F11b6_nvvn7!19sChIJlyqTagIFyIkRZIP2XApw4cU?authuser=0&hl=en&rclk=1
Autumn Lake Healthcare at Homewood Center,4.5,,Nursing home,6000 Bellona Ave,,Open 24 hours,https://autumnlakehomewood.com/,https://www.google.com/maps/place/Autumn+Lake+Healthcare+at+Homewood+Center/data=!4m7!3m6!1s0x89c805672ce081f1:0x8b1e46bda2b0a2d1!8m2!3d39.3639397!4d-76.6158529!16s%2Fg%2F1263yyqmz!19sChIJ8YHgLGcFyIkR0aKwor1GHos?authuser=0&hl=en&rclk=1
Harmony Care Assisted Living Facility,5.0,,Assisted living facility,4417 Wentworth Rd,,Open · Closes 6 PM,http://www.harmonycarealf.com/,https://www.google.com/maps/place/Harmony+Care+Assisted+Living+Facility/data=!4m7!3m6!1s0x89c81bc60d763b31:0x547fe818cf37ba4e!8m2!3d39.3258845!4d-76.6951522!16s%2Fg%2F11p6kthp9y!19sChIJMTt2DcYbyIkRTro3zxjof1Q?authuser=0&hl=en&rclk=1
Granny's Place Assisted Living,5.0,,Assisted living facility,831 Whitelock St,,Closed · Opens 9 AM Tue,https://grannysplaceassistedliving.godaddysites.com/,https://www.google.com/maps/place/Granny%27s+Place+Assisted+Living/data=!4m7!3m6!1s0x89c805ba2178ca67:0xa353b1465e3539a2!8m2!3d39.3142463!4d-76.6330602!16s%2Fg%2F11lcsz5qng!19sChIJZ8p4IboFyIkRojk1XkaxU6M?authuser=0&hl=en&rclk=1
OK Family Care Assisted Living,5.0,,Assisted living facility,6650 Belair Rd,,Open 24 hours,,https://www.google.com/maps/place/OK+Family+Care+Assisted+Living/data=!4m7!3m6!1s0x89c8061eae998091:0xdbdfc8dd17b857b7!8m2!3d39.3549547!4d-76.5310077!16s%2Fg%2F11f04b25wt!19sChIJkYCZrh4GyIkRt1e4F93I39s?authuser=0&hl=en&rclk=1
"AJ Manor Assisted Living, LLC",5.0,,Assisted living facility,2504 Elsinore Ave,,Open 24 hours,,"https://www.google.com/maps/place/AJ+Manor+Assisted+Living,+LLC/data=!4m7!3m6!1s0x89c81bee7aea5c6f:0x2aa0353e97d177ed!8m2!3d39.3165541!4d-76.6795939!16s%2Fg%2F11m9rq8m_b!19sChIJb1zqeu4byIkR7XfRlz41oCo?authuser=0&hl=en&rclk=1"
