name,rating,reviews,category,address_lane1,phone,status,website,maps_url
The Woodlands of Columbus,4.7,,Assisted living facility,5380 E Broad St,,Open 24 hours,https://www.sonidaseniorliving.com/community/the-woodlands-of-columbus/,https://www.google.com/maps/place/The+Woodlands+of+Columbus/data=!4m7!3m6!1s0x883863b2176c7bed:0x4a91954d33f7285f!8m2!3d39.9785697!4d-82.8602334!16s%2Fg%2F1tf1phj0!19sChIJ7XtsF7JjOIgRXyj3M02VkUo?authuser=0&hl=en&rclk=1
Ohio Living Westminster-Thurber,3.9,,Assisted living facility,717 Neil Ave,,Open 24 hours,https://www.ohioliving.org/communities/ohio-living-westminster-thurber/,https://www.google.com/maps/place/Ohio+Living+Westminster-Thurber/data=!4m7!3m6!1s0x88388f209ad3fd7f:0x74b80e21422f7402!8m2!3d39.9756359!4d-83.0111332!16s%2Fg%2F1vs5xd0b!19sChIJf_3TmiCPOIgRAnQvQiEOuHQ?authuser=0&hl=en&rclk=1
Wesley Glen,3.9,,Assisted living facility,5155 N High St,,Open 24 hours,https://lec.org/communities/wesley-glen/,https://www.google.com/maps/place/Wesley+Glen/data=!4m7!3m6!1s0x88388cf1c2c329ff:0x2968c8a2e21bf5aa!8m2!3d40.0676899!4d-83.0213109!16s%2Fg%2F1ptyqzv3y!19sChIJ_ynDwvGMOIgRqvUb4qLIaCk?authuser=0&hl=en&rclk=1
Kensington Place,4.4,,Retirement community,1001 Parkview Blvd,,Open · Closes 8 PM,,https://www.google.com/maps/place/Kensington+Place/data=!4m7!3m6!1s0x883889bde74add7b:0x32e149e00fb8719!8m2!3d39.9908198!4d-82.9350191!16s%2Fg%2F1tcyg3nj!19sChIJe91K572JOIgRGYf7AJ4ULgM?authuser=0&hl=en&rclk=1
The Ashford on Broad,3.9,,Assisted living facility,4801 E Broad St,,Open 24 hours,https://theashfordonbroad.com/,https://www.google.com/maps/place/The+Ashford+on+Broad/data=!4m7!3m6!1s0x883862505f42fd4b:0xc4c848dfd93b3a65!8m2!3d39.9759901!4d-82.8728106!16s%2Fg%2F11c4c86jd2!19sChIJS_1CX1BiOIgRZTo72d9IyMQ?authuser=0&hl=en&rclk=1
Danbury Columbus,4.4,,Assisted living facility,2870 Snouffer Rd,,Open 24 hours,https://www.storypoint.com/community/columbus-oh/?utm_source=gmb&utm_medium=organic,https://www.google.com/maps/place/Danbury+Columbus/data=!4m7!3m6!1s0x8838f2b25173e2ff:0x66e29ad7a630b83e!8m2!3d40.1044885!4d-83.0658555!16s%2Fg%2F11b7f_ycxt!19sChIJ_-JzUbLyOIgRPrgwptea4mY?authuser=0&hl=en&rclk=1
Oakleaf Village of Columbus,4.0,,Assisted living facility,5500 Karl Rd,,Open 24 hours,https://oakleafcolumbus.com/,https://www.google.com/maps/place/Oakleaf+Village+of+Columbus/data=!4m7!3m6!1s0x88388b40de7432d3:0x55496d9f8c547d7!8m2!3d40.0794789!4d-82.9738962!16s%2Fg%2F1v47002c!19sChIJ0zJ03kCLOIgR10fF-NmWVAU?authuser=0&hl=en&rclk=1
Cherry Blossom Senior Living,3.9,,Assisted living facility,79 Blossom Fld Blvd,,Open 24 hours,https://continentalseniorcommunities.com/cherry-blossom,https://www.google.com/maps/place/Cherry+Blossom+Senior+Living/data=!4m7!3m6!1s0x883863148d4966eb:0xad5297c8947aa60e!8m2!3d39.9826155!4d-82.833616!16s%2Fg%2F11fhyc4h0b!19sChIJ62ZJjRRjOIgRDqZ6lMiXUq0?authuser=0&hl=en&rclk=1
Mayfair Village Retirement Center,4.6,,Assisted living facility,3011 Hayden Rd,,Open 24 hours,https://www.centurypa.com/senior-living/mayfair-village/,https://www.google.com/maps/place/Mayfair+Village+Retirement+Center/data=!4m7!3m6!1s0x883892f380e61b17:0xa179f23f6a5550ac!8m2!3d40.06649!4d-83.09885!16s%2Fg%2F1pzyb5fzy!19sChIJFxvmgPOSOIgRrFBVaj_yeaE?authuser=0&hl=en&rclk=1
The Coventry Senior Living,4.5,,Assisted living facility,3240 Tremont Rd,,Open 24 hours,https://continentalseniorcommunities.com/the-coventry,https://www.google.com/maps/place/The+Coventry+Senior+Living/data=!4m7!3m6!1s0x88388d43bd888647:0xf2da92236911a0d1!8m2!3d40.0230255!4d-83.0591418!16s%2Fg%2F11k4x861kq!19sChIJR4aIvUONOIgR0aARaSOS2vI?authuser=0&hl=en&rclk=1
