name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Magnolia Springs Lexington,4.9,,Retirement community,2701 Magnolia Springs Dr,,Open 24 hours,https://sinceriseniorliving.com/magnolia-springs-lexington/,https://www.google.com/maps/place/Magnolia+Springs+Lexington/data=!4m7!3m6!1s0x884243ef90ea628b:0x9a07535a30425f89!8m2!3d38.0940258!4d-84.5334409!16s%2Fg%2F11bwflvbqp!19sChIJi2LqkO9DQogRiV9CMFpTB5o?authuser=0&hl=en&rclk=1
Richmond Place,4.6,,Assisted living facility,3051 Rio Dosa Dr,,Open 24 hours,http://www.richmondplaceseniorliving.com/,https://www.google.com/maps/place/Richmond+Place/data=!4m7!3m6!1s0x88425aa88789fba5:0x7a21a39bc6a20a94!8m2!3d38.0064668!4d-84.442251!16s%2Fg%2F1w0r0lky!19sChIJpfuJh6haQogRlAqixpujIXo?authuser=0&hl=en&rclk=1
Morning Pointe of Lexington,4.8,,Assisted living facility,233 Ruccio Way,,Open 24 hours,https://morningpointe.com/senior-living-locations/kentucky/morning-pointe-of-lexington/,https://www.google.com/maps/place/Morning+Pointe+of+Lexington/data=!4m7!3m6!1s0x88425c992fe655bb:0x7211dfad94a171b1!8m2!3d37.9953805!4d-84.5287561!16s%2Fg%2F1tmcmx_7!19sChIJu1XmL5lcQogRsXGhlK3fEXI?authuser=0&hl=en&rclk=1
Legacy Reserve at Fritz Farm,4.8,,Assisted living facility,2700 Man o' War Blvd,,Open 24 hours,https://atlasseniorliving.com/legacy-reserve-fritz-farm/?utm_source=GBP&utm_medium=google+organic,https://www.google.com/maps/place/Legacy+Reserve+at+Fritz+Farm/data=!4m7!3m6!1s0x88425c8a0e3b7f1b:0xe6ac0028948775e7!8m2!3d37.9750104!4d-84.5291151!16s%2Fg%2F11cn94n41w!19sChIJG387DopcQogR53WHlCgArOY?authuser=0&hl=en&rclk=1
Liberty Ridge Senior Living,4.7,,Assisted living facility,701 Liberty Ridge Ln,,Closed · Opens 9 AM Tue,https://libertyridge.com/,https://www.google.com/maps/place/Liberty+Ridge+Senior+Living/data=!4m7!3m6!1s0x88424fff96d09251:0x3b778fd65d8580e3!8m2!3d38.0186494!4d-84.4375836!16s%2Fg%2F1td2_43y!19sChIJUZLQlv9PQogR44CFXdaPdzs?authuser=0&hl=en&rclk=1
Highgrove at Tates Creek,4.5,,Assisted living facility,4251 Saron Dr,,Open 24 hours,https://continentalseniorcommunities.com/highgrove-tates-creek,https://www.google.com/maps/place/Highgrove+at+Tates+Creek/data=!4m7!3m6!1s0x88425b97eb88ae85:0xda513223b7b20777!8m2!3d37.9652245!4d-84.5024056!16s%2Fg%2F11ckjy126q!19sChIJha6I65dbQogRdweytyMyUdo?authuser=0&hl=en&rclk=1
Morning Pointe of Lexington-East,4.6,,Assisted living facility,150 Shoreside Dr,,Open 24 hours,https://morningpointe.com/senior-living-locations/kentucky/morning-pointe-of-lexington-east/,https://www.google.com/maps/place/Morning+Pointe+of+Lexington-East/data=!4m7!3m6!1s0x88425075c3067413:0xcc3f1644c147c7f7!8m2!3d37.991082!4d-84.436573!16s%2Fg%2F1q62mthcj!19sChIJE3QGw3VQQogR98dHwUQWP8w?authuser=0&hl=en&rclk=1
"The Lantern at Morning Pointe Alzheimer’s Center of Excellence, Lexington",4.9,,Assisted living facility,225 Ruccio Way,,Open 24 hours,https://morningpointe.com/locations/the-lantern-at-lexington-memory-care/,"https://www.google.com/maps/place/The+Lantern+at+Morning+Pointe+Alzheimer%E2%80%99s+Center+of+Excellence,+Lexington/data=!4m7!3m6!1s0x88425c994422455b:0x5130c9aacc0a3bf4!8m2!3d37.9952592!4d-84.5283768!16s%2Fg%2F11b6szrgj0!19sChIJW0UiRJlcQogR9DsKzKrJMFE?authuser=0&hl=en&rclk=1"
Lexington Country Place,4.2,,Assisted living facility,700 Mason Headley Rd,,Closed · Opens 9 AM Tue,https://www.phoenixsrliving.com/communities/lexington-country-place/,https://www.google.com/maps/place/Lexington+Country+Place/data=!4m7!3m6!1s0x8842435bc0cb6a75:0x830f257d132eef1b!8m2!3d38.0350537!4d-84.528636!16s%2Fg%2F1tg5130r!19sChIJdWrLwFtDQogRG-8uE30lD4M?authuser=0&hl=en&rclk=1
Sayre Christian Village,4.5,,Retirement community,3775 Belleau Wood Dr,,Open 24 hours,https://www.sayrechristianvillage.org/?utm_source=GMB&utm_medium=organic&utm_campaign=sayre,https://www.google.com/maps/place/Sayre+Christian+Village/data=!4m7!3m6!1s0x88425b637ab0ac57:0xd64c99a5f5c6fbfd!8m2!3d37.9738527!4d-84.5059461!16s%2Fg%2F11jfgbl2ks!19sChIJV6ywemNbQogR_fvG9aWZTNY?authuser=0&hl=en&rclk=1
