name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Belmont Village Senior Living Green Hills,4.6,,Assisted living facility,4206 Stammer Pl,,Open 24 hours,https://www.belmontvillage.com/locations/green-hills-nashville-tennessee/?utm_source=gmb&utm_medium=organic&utm_content=gmb-website,https://www.google.com/maps/place/Belmont+Village+Senior+Living+Green+Hills/data=!4m7!3m6!1s0x88646478734b17a9:0xb46e229c4a4ba3ec!8m2!3d36.1000617!4d-86.8213441!16s%2Fg%2F1tfstm35!19sChIJqRdLc3hkZIgR7KNLSpwibrQ?authuser=0&hl=en&rclk=1
Mary Queen of Angels Assisted,4.9,,Assisted living facility,34 White Bridge Pike,,,https://maryqueenofangels.com/contact-us,https://www.google.com/maps/place/Mary+Queen+of+Angels+Assisted/data=!4m7!3m6!1s0x886463da33fff141:0x45540c7004163928!8m2!3d36.1288591!4d-86.8493393!16s%2Fg%2F1tfwl2kj!19sChIJQfH_M9pjZIgRKDkWBHAMVEU?authuser=0&hl=en&rclk=1
The Lodge at Natchez Trace,4.1,,Assisted living facility,8207 TN-100,,Open 24 hours,http://natcheztracelodge.com/,https://www.google.com/maps/place/The+Lodge+at+Natchez+Trace/data=!4m7!3m6!1s0x88648623ae65d44d:0x9bc3d44435df4002!8m2!3d36.0420838!4d-86.9562406!16s%2Fg%2F11b5v_ms5k!19sChIJTdRlriOGZIgRAkDfNUTUw5s?authuser=0&hl=en&rclk=1
Clarendale West End,5.0,,Assisted living facility,3416 Park Dr,,Open 24 hours,https://clarendalewestend.com/?utm_campaign=gmb&utm_content=business_profile_link&utm_id=dir_gbp_organic&utm_medium=directory&utm_source=gbp,https://www.google.com/maps/place/Clarendale+West+End/data=!4m7!3m6!1s0x88646758474336bf:0xa615fc0e2e5aa403!8m2!3d36.1399741!4d-86.8213785!16s%2Fg%2F11kj00lzj_!19sChIJvzZDR1hnZIgRA6RaLg78FaY?authuser=0&hl=en&rclk=1
Clarendale at Bellevue Place,4.9,,Assisted living facility,7632 Hwy 70 S,,Open 24 hours,https://clarendaleatbellevueplace.com/?utm_source=local-listing&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/Clarendale+at+Bellevue+Place/data=!4m7!3m6!1s0x886489dc4c755e97:0x4cbac3b0b1eae67c!8m2!3d36.0826726!4d-86.9494196!16s%2Fg%2F11h10v4cg9!19sChIJl151TNyJZIgRfObqsbDDukw?authuser=0&hl=en&rclk=1
Blakeford at Green Hills,4.2,,Assisted living facility,11 Burton Hills Blvd,,Open 24 hours,https://blakeford.com/?utm_source=google_my_business&utm_medium=organic,https://www.google.com/maps/place/Blakeford+at+Green+Hills/data=!4m7!3m6!1s0x8864647f099d7e15:0xffba197c62377e4f!8m2!3d36.0932968!4d-86.820285!16s%2Fg%2F1tdbrls9!19sChIJFX6dCX9kZIgRT343YnwZuv8?authuser=0&hl=en&rclk=1
The Opal at Music City,3.9,,Assisted living facility,2733 McCampbell Ave,,Open 24 hours,https://opal-musiccity.com/,https://www.google.com/maps/place/The+Opal+at+Music+City/data=!4m7!3m6!1s0x88646962afa85f23:0xffb4d505a1df678a!8m2!3d36.161851!4d-86.66103!16s%2Fg%2F11gf99gq1x!19sChIJI1-or2JpZIgRimffoQXVtP8?authuser=0&hl=en&rclk=1
Brookdale Green Hills Cumberland,4.4,,Assisted living facility,15 Burton Hills Blvd,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-green-hills-cumberland.html?cid=yext,https://www.google.com/maps/place/Brookdale+Green+Hills+Cumberland/data=!4m7!3m6!1s0x8864638061f2db69:0x7b48043e503c2d79!8m2!3d36.093617!4d-86.823007!16s%2Fg%2F1tjcq5bl!19sChIJadvyYYBjZIgReS08UD4ESHs?authuser=0&hl=en&rclk=1
The Village at Bellevue | Nashville Assisted Living,4.6,,Assisted living facility,8118B Sawyer Brown Rd,,Open 24 hours,https://thevillageatbellevue.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=profile_website,https://www.google.com/maps/place/The+Village+at+Bellevue+%7C+Nashville+Assisted+Living/data=!4m7!3m6!1s0x886488f7adafdf87:0x8614133498113fce!8m2!3d36.0807392!4d-86.9428978!16s%2Fg%2F119w5t28l!19sChIJh9-vrfeIZIgRzj8RmDQTFIY?authuser=0&hl=en&rclk=1
Richland Place,3.8,,Assisted living facility,504 Elmington Ave,,Open 24 hours,http://www.richlandplace.com/,https://www.google.com/maps/place/Richland+Place/data=!4m7!3m6!1s0x8864640133646569:0xfea7fe36e6636326!8m2!3d36.1289239!4d-86.8176016!16s%2Fg%2F1thmg3q2!19sChIJaWVkMwFkZIgRJmNj5jb-p_4?authuser=0&hl=en&rclk=1
Brookdale Belle Meade,4.2,,Assisted living facility,6767 Brookmont Terrace,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-belle-meade.html?cid=yext,https://www.google.com/maps/place/Brookdale+Belle+Meade/data=!4m7!3m6!1s0x886462835b81aa27:0x7beda691a99a2d0b!8m2!3d36.0829513!4d-86.8976162!16s%2Fg%2F1hm6bz6pw!19sChIJJ6qBW4NiZIgRCy2aqZGm7Xs?authuser=0&hl=en&rclk=1
Knowles Home Assisted Living,4.7,,Assisted living facility,1010 Camilla Caldwell Ln,,,https://knowlesassistedliving.org/,https://www.google.com/maps/place/Knowles+Home+Assisted+Living/data=!4m7!3m6!1s0x8864611c29be6697:0xfb5d033978b74f46!8m2!3d36.1815543!4d-86.8489279!16s%2Fg%2F1v44fq1z!19sChIJl2a-KRxhZIgRRk-3eDkDXfs?authuser=0&hl=en&rclk=1
The Crestmoor at Green Hills,4.7,,Assisted living facility,3808 Cleghorn Ave,,Open 24 hours,https://thecrestmoor.com/,https://www.google.com/maps/place/The+Crestmoor+at+Green+Hills/data=!4m7!3m6!1s0x886465b94f729557:0x79b7ed83a0558c8b!8m2!3d36.1090257!4d-86.8181927!16s%2Fg%2F11xgs21jmg!19sChIJV5VyT7llZIgRi4xVoIPtt3k?authuser=0&hl=en&rclk=1
American House Brentwood,4.6,,Assisted living facility,5436 Edmondson Pike,,Open 24 hours,https://www.americanhouse.com/brentwood?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,https://www.google.com/maps/place/American+House+Brentwood/data=!4m7!3m6!1s0x8864655548bf6cfb:0x9dce1fcfe0444eec!8m2!3d36.0458616!4d-86.7424003!16s%2Fg%2F11_f46kvg!19sChIJ-2y_SFVlZIgR7E5E4M8fzp0?authuser=0&hl=en&rclk=1
