name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Karolwood Gardens Norfolk Senior Living Center,3.6,,Assisted living facility,6403 Granby St,,Open 24 hours,http://karolwoodnorfolk.com/,https://www.google.com/maps/place/Karolwood+Gardens+Norfolk+Senior+Living+Center/data=!4m7!3m6!1s0x89ba9f17e8459175:0x84317c182c8decac!8m2!3d36.9005372!4d-76.2799978!16s%2Fg%2F11sgmxf26n!19sChIJdZFF6BefuokRrOyNLBh8MYQ?authuser=0&hl=en&rclk=1
Province Place of DePaul,2.7,,Assisted living facility,6403 Granby St,,Open 24 hours,https://www.bonsecours.com/locations/assisted-living-skilled-nursing/hampton-roads/province-place-of-depaul?utm_source=local-listings&utm_medium=organic&utm_content=website_link,https://www.google.com/maps/place/Province+Place+of+DePaul/data=!4m7!3m6!1s0x89ba99dd00a97ffb:0xd29704d597689d4d!8m2!3d36.9005372!4d-76.2799978!16s%2Fg%2F1wb8vlhb!19sChIJ-3-pAN2ZuokRTZ1ol9UEl9I?authuser=0&hl=en&rclk=1
Autumn Care of Norfolk,3.5,,Nursing home,1401 Halstead Ave,,Open 24 hours,https://www.saberhealth.com/locations/autumn-care-of-norfolk/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business&utm_term=SHGVA5,https://www.google.com/maps/place/Autumn+Care+of+Norfolk/data=!4m7!3m6!1s0x89ba96532df0ee1d:0x95352c535a21a76b!8m2!3d36.8679285!4d-76.2247662!16s%2Fg%2F1tj85r92!19sChIJHe7wLVOWuokRa6chWlMsNZU?authuser=0&hl=en&rclk=1
Signature HealthCARE of Norfolk,3.6,,Nursing home,1005 Hampton Blvd,,Open 24 hours,http://shcofnorfolk.com/,https://www.google.com/maps/place/Signature+HealthCARE+of+Norfolk/data=!4m7!3m6!1s0x89ba984249041b5d:0x3feeac3815f19b9a!8m2!3d36.8654886!4d-76.3017345!16s%2Fg%2F11b682x35r!19sChIJXRsESUKYuokRmpvxFTis7j8?authuser=0&hl=en&rclk=1
Granby House Senior Residences,4.5,,Apartment building,100 Suburban Pkwy,,,https://granbyhouseseniorliving.com/,https://www.google.com/maps/place/Granby+House+Senior+Residences/data=!4m7!3m6!1s0x89ba99e2c4ef3333:0xa42d83ba05de6335!8m2!3d36.9123218!4d-76.2725772!16s%2Fg%2F1tg2lkly!19sChIJMzPvxOKZuokRNWPeBbqDLaQ?authuser=0&hl=en&rclk=1
Norview Heights Rehabilitation and Nursing,4.6,,Nursing home,827 Norview Ave,,Open 24 hours,https://norviewheightsrehab.com/,https://www.google.com/maps/place/Norview+Heights+Rehabilitation+and+Nursing/data=!4m7!3m6!1s0x89ba979a6357a8b5:0xef29d9733c3d7fbc!8m2!3d36.8900417!4d-76.2551987!16s%2Fg%2F11fr0vv5r4!19sChIJtahXY5qXuokRvH89PHPZKe8?authuser=0&hl=en&rclk=1
Reunion Senior Living at Kindred,4.3,,Apartment complex,501 Wood St,,Closed · Opens 9 AM Tue,http://reunionsenioratkindred.com/?utm_knock=g,https://www.google.com/maps/place/Reunion+Senior+Living+at+Kindred/data=!4m7!3m6!1s0x89ba99dd4974cd07:0x3993ba64b53ff85f!8m2!3d36.8514632!4d-76.2832831!16s%2Fg%2F11ss8j7ym8!19sChIJB810Sd2ZuokRX_g_tWS6kzk?authuser=0&hl=en&rclk=1
Tucker House,3.8,,Non-profit organization,7700 Armfield Ave,,,https://nuom.org/tuckerhouse/,https://www.google.com/maps/place/Tucker+House/data=!4m7!3m6!1s0x89ba99f2361fbf39:0x4850dac97eda760a!8m2!3d36.9165087!4d-76.2897422!16s%2Fg%2F1v_0kn4k!19sChIJOb8fNvKZuokRCnbafsnaUEg?authuser=0&hl=en&rclk=1
Village Gardens | An RHF Community,4.8,,Non-profit organization,1225 W 39th St #209,,Closed · Opens 9:30 AM Tue,http://www.rhf.org/location/village-gardens/,https://www.google.com/maps/place/Village+Gardens+%7C+An+RHF+Community/data=!4m7!3m6!1s0x89ba984dc6ea9715:0xa7d1875b5e78331f!8m2!3d36.8802776!4d-76.3034179!16s%2Fg%2F1hc1yrk5b!19sChIJFZfqxk2YuokRHzN4XluH0ac?authuser=0&hl=en&rclk=1
Stonebridge Manor,2.5,,Retirement home,5432 Tidewater Dr,,Closed · Opens 9 AM Tue,https://fryeproperties.com/,https://www.google.com/maps/place/Stonebridge+Manor/data=!4m7!3m6!1s0x89ba977061693c8f:0x1f44bff59cd24def!8m2!3d36.887504!4d-76.2583208!16s%2Fg%2F1tcx_r1g!19sChIJjzxpYXCXuokR703SnPW_RB8?authuser=0&hl=en&rclk=1
Grace Place | An RHF Community,4.0,,Non-profit organization,2735 Corprew Ave APT#318,,,http://www.rhf.org/location/grace-place/,https://www.google.com/maps/place/Grace+Place+%7C+An+RHF+Community/data=!4m7!3m6!1s0x89ba97eefc609d59:0xcb9e0446e86a82cd!8m2!3d36.8502023!4d-76.2560935!16s%2Fg%2F1v940z7f!19sChIJWZ1g_O6XuokRzYJq6EYEnss?authuser=0&hl=en&rclk=1
Bickford of Suffolk,4.8,,Assisted living facility,6860 Harbour View Blvd,,Open 24 hours,https://www.bickfordseniorliving.com/suffolk,https://www.google.com/maps/place/Bickford+of+Suffolk/data=!4m7!3m6!1s0x89ba9fc0d5be5fe1:0x4d2618d2adfe9b30!8m2!3d36.8840228!4d-76.4357858!16s%2Fg%2F11dx94d4j7!19sChIJ4V--1cCfuokRMJv-rdIYJk0?authuser=0&hl=en&rclk=1
Suburban House Senior Residences,4.0,,Apartment building,110 Suburban Pkwy,,,https://suburbanhouseseniorliving.com/?utm_knock=g,https://www.google.com/maps/place/Suburban+House+Senior+Residences/data=!4m7!3m6!1s0x89ba975808200a95:0x2dba6c9018f3d1cd!8m2!3d36.9117826!4d-76.2710763!16s%2Fg%2F1v3kjdtp!19sChIJlQogCFiXuokRzdHzGJBsui0?authuser=0&hl=en&rclk=1
Thornton Hall Nursing & Rehabilitation Center,1.8,,Assisted living facility,827 Norview Ave,,Open 24 hours,http://centers.consulatehealthcare.com/va/norfolk/827-norview-ave..html,https://www.google.com/maps/place/Thornton+Hall+Nursing+%26+Rehabilitation+Center/data=!4m7!3m6!1s0x89ba976e22d04fab:0x255956b388e6d20f!8m2!3d36.8903018!4d-76.2550814!16s%2Fg%2F1v2gfnnj!19sChIJq0_QIm6XuokRD9LmiLNWWSU?authuser=0&hl=en&rclk=1
Cromwell House Apartments,3.6,,Apartment building,114 Cromwell Pkwy,,Closed · Opens 8:30 AM Tue,http://cromwellhouseapartments.com/,https://www.google.com/maps/place/Cromwell+House+Apartments/data=!4m7!3m6!1s0x89ba97581c93ec99:0x2329c7bd7fa1ee6a!8m2!3d36.912126!4d-76.2696385!16s%2Fg%2F1wnf1ys_!19sChIJmeyTHFiXuokRau6hf73HKSM?authuser=0&hl=en&rclk=1
