name,rating,reviews,category,address_lane1,phone,status,website,maps_url
The Waters of Highland Park,4.5,,Assisted living facility,678 Snelling Ave S,,Open · Closes 8 PM,https://www.thewaters.com/locations/the-waters-highland-park,https://www.google.com/maps/place/The+Waters+of+Highland+Park/data=!4m7!3m6!1s0x87f62a32f45dcb1b:0x7345372f648fb495!8m2!3d44.9209985!4d-93.1666504!16s%2Fg%2F11cmbpnrp6!19sChIJG8td9DIq9ocRlbSPZC83RXM?authuser=0&hl=en&rclk=1
Summit Hill Senior Living,3.2,,Assisted living facility,1824 Old Hudson Rd,,Open 24 hours,https://www.summithillseniorliving.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=summit-hill,https://www.google.com/maps/place/Summit+Hill+Senior+Living/data=!4m7!3m6!1s0x87f7d5fb669d09cb:0x295d68f59d485b50!8m2!3d44.9524069!4d-93.0230159!16s%2Fg%2F1s04cp21g!19sChIJywmdZvvV94cRUFtInfVoXSk?authuser=0&hl=en&rclk=1
Restful Living.,5.0,,Assisted living facility,399 Ruth St N,,Open · Closes 8 PM,http://www.restfulassistedliving.com/,https://www.google.com/maps/place/Restful+Living./data=!4m7!3m6!1s0x87f7d60705b00001:0xaac829efb9902ab8!8m2!3d44.9537207!4d-93.0156019!16s%2Fg%2F11h5q8j84v!19sChIJAQCwBQfW94cRuCqQue8pyKo?authuser=0&hl=en&rclk=1
Brookdale West St. Paul,3.6,,Assisted living facility,305 Thompson Ave E,,Open 24 hours,https://www.brookdale.com/en/communities/brookdale-west-st-paul-al.html,https://www.google.com/maps/place/Brookdale+West+St.+Paul/data=!4m7!3m6!1s0x87f7d493449b0e65:0x5d1e080d2d8d856e!8m2!3d44.9019518!4d-93.0718463!16s%2Fg%2F1tdkbmxm!19sChIJZQ6bRJPU94cRboWNLQ0IHl0?authuser=0&hl=en&rclk=1
The Sanctuary at West St. Paul,4.2,,Assisted living facility,1746 Oakdale Ave,,Closed · Opens 8 AM Tue,https://www.thesanctuary-weststpaul.com/?utm_source=GBP&utm_medium=organic,https://www.google.com/maps/place/The+Sanctuary+at+West+St.+Paul/data=!4m7!3m6!1s0x87f7d4907170d4e1:0x441db671a35054ad!8m2!3d44.8936232!4d-93.0688303!16s%2Fg%2F11c233jbnh!19sChIJ4dRwcZDU94cRrVRQo3G2HUQ?authuser=0&hl=en&rclk=1
Willows of Ramsey Hill,4.6,,Assisted living facility,80 North Mackubin,,Closed · Opens 8 AM Tue,http://www.willowsoframseyhill.com/?utm_source=PRIME&utm_medium=PLSN&utm_id=Prime+Local+Search&y_source=1_MjU3NDY2OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.google.com/maps/place/Willows+of+Ramsey+Hill/data=!4m7!3m6!1s0x87f62a9699537b11:0x57cc413cf64174bd!8m2!3d44.9441897!4d-93.1205542!16s%2Fg%2F11bt_kp7w_!19sChIJEXtTmZYq9ocRvXRB9jxBzFc?authuser=0&hl=en&rclk=1
Sunlight Senior Living,2.8,,Assisted living facility,400 Western Ave N,,Closes soon · Opens 9 AM Tue,https://www.sunlightseniorliving.com/,https://www.google.com/maps/place/Sunlight+Senior+Living/data=!4m7!3m6!1s0x87f62aa183d408b1:0x49ae65e965608e10!8m2!3d44.9532374!4d-93.1153479!16s%2Fg%2F1tgcmvvf!19sChIJsQjUg6Eq9ocREI5gZellrkk?authuser=0&hl=en&rclk=1
Dellwood Gardens,3.8,,Assisted living facility,753 E 7th St,,Closes soon · Opens 9 AM Tue,https://www.dellwoodgardens.com/,https://www.google.com/maps/place/Dellwood+Gardens/data=!4m7!3m6!1s0x87f7d55e4383d87b:0xd4b85e96fb64cf83!8m2!3d44.9606319!4d-93.0703355!16s%2Fg%2F11b6x7q0vf!19sChIJe9iDQ17V94cRg89k-5ZeuNQ?authuser=0&hl=en&rclk=1
Polar Ridge Senior Living,4.3,,Assisted living facility,2365 Helen St N,,Open 24 hours,https://polarridgeseniorliving.com/,https://www.google.com/maps/place/Polar+Ridge+Senior+Living/data=!4m7!3m6!1s0x52b2d3b9835b05ed:0x65d4c1f3f1426f!8m2!3d45.0126404!4d-92.9952366!16s%2Fg%2F11b7xw92b8!19sChIJ7QVbg7nTslIRb0Lx88HUZQA?authuser=0&hl=en&rclk=1
The Villas at St. Paul,2.9,,Nursing home,445 Galtier St,,Open 24 hours,https://monarchmn.com/the-villas-at-st-paul,https://www.google.com/maps/place/The+Villas+at+St.+Paul/data=!4m7!3m6!1s0x87f62aa6e8b59977:0x19ae4f991e284fe7!8m2!3d44.9547111!4d-93.1114747!16s%2Fg%2F1tr7db_8!19sChIJd5m16KYq9ocR508oHplPrhk?authuser=0&hl=en&rclk=1
