name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Hammond Glen Retirement Community,4.3,,Retirement community,335 Hammond Dr,,Open 24 hours,https://www.sunshineretirementliving.com/sandy-springs-retirement-living/?utm_source=local&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Hammond+Glen+Retirement+Community/data=!4m7!3m6!1s0x88f50e95860652c5:0xf02d87238d7d4131!8m2!3d33.9170775!4d-84.3753058!16s%2Fg%2F1wb8vjnp!19sChIJxVIGhpUO9YgRMUF9jSOHLfA?authuser=0&hl=en&rclk=1
The Mansions at Decatur Senior Independent Living,4.6,,Retirement community,2677 Lawrenceville Hwy,,Open 24 hours,https://mansionsseniorliving.com/mansions-decatur/?utm_campaign=gmb,https://www.google.com/maps/place/The+Mansions+at+Decatur+Senior+Independent+Living/data=!4m7!3m6!1s0x88f5a819ef0a5569:0xdc499bd5004abdb2!8m2!3d33.8234596!4d-84.2601013!16s%2Fg%2F11ggr962jc!19sChIJaVUK7xmo9YgRsr1KANWbSdw?authuser=0&hl=en&rclk=1
Mount Vernon Village,4.6,,Retirement community,475 Mount Vernon Hwy NE,,Open 24 hours,https://mountvernonvillage.org/,https://www.google.com/maps/place/Mount+Vernon+Village/data=!4m7!3m6!1s0x88f50ebb50131397:0xb90442f00a8eb020!8m2!3d33.9239556!4d-84.3696568!16s%2Fg%2F1tj_61z2!19sChIJlxMTULsO9YgRILCOCvBCBLk?authuser=0&hl=en&rclk=1
Regency House by Barclay House,4.5,,Retirement community,341 Winn Way,,,https://www.qslmseniorliving.com/senior-living/ga/decatur/winn-way/?utm_source=GBP&utm_medium=organic,https://www.google.com/maps/place/Regency+House+by+Barclay+House/data=!4m7!3m6!1s0x88f5076510f32347:0xef79e74986262389!8m2!3d33.7850295!4d-84.2785089!16s%2Fg%2F1tg2fb1b!19sChIJRyPzEGUH9YgRiSMmhknnee8?authuser=0&hl=en&rclk=1
HearthSide Brookleigh,4.4,,Apartment building,2282 Johnson Ferry Rd NE,,Closed · Opens 9 AM Tue,http://www.hearthsidebookleigh.com/,https://www.google.com/maps/place/HearthSide+Brookleigh/data=!4m7!3m6!1s0x88f509afffffffff:0xb00817f0a4fa4d05!8m2!3d33.8913752!4d-84.3203842!16s%2Fg%2F113h39bsb!19sChIJ_____68J9YgRBU36pPAXCLA?authuser=0&hl=en&rclk=1
Lenbrook,4.6,,Retirement community,3747 Peachtree Road Northeast,,Open 24 hours,/aclk?sa=L&ai=DChsSEwixjpPCk4qVAxX0TEcBHfMqICkYACICCAEQAxoCcXU&co=1&ase=2&gclid=EAIaIQobChMIsY6TwpOKlQMV9ExHAR3zKiApEBAYASAAEgLDJvD_BwE&cid=CAASuwHkaCP2eP9IEZlZSFFAgEzo5KCo4Prvi9uavXsW8nNti7myiBO5huQNxvG_ftza5Hv5FojQSCoE7qFqC_Y-mqsbLe_WXhjzyNV1HBc63SLEe9a9HhXAB0paQxD7K0shIn8deCSmG0ZShgTaOZ_BvC0d-5KC6oGSVlNNi5lr3mBVj0Z0fPMuwIaLoDjLN3tADF4AQFDQ0pkEs2Gfe2UCo6_oRHH8A5dXMDIR7K9wQ5sT375k_E_R1xWKa6-9&cce=2&category=acrcp_v1_32&sig=AOD64_08khmLfiOCD5CV0xpz2MwAiRJSKQ&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/Lenbrook/data=!4m7!3m6!1s0x88f508aded51ecd3:0x40e970c9a88e0a1c!8m2!3d33.855172!4d-84.349215!16s%2Fg%2F1tf4fwkm!19sChIJ0-xR7a0I9YgRHAqOqMlw6UA?authuser=0&hl=en&rclk=1
Briar Park 55+ Apartments,4.2,,Apartment complex,3263 Greenbriar Pkwy SW,,,https://www.briarparkseniorliving.com/?utm_source=GoogleSearch_Referral&utm_campaign=Directory_Listing,https://www.google.com/maps/place/Briar+Park+55%2B+Apartments/data=!4m7!3m6!1s0x88f51d72197260c5:0xdfceaf7717a1fea8!8m2!3d33.6874368!4d-84.4980014!16s%2Fg%2F11rtt21qwd!19sChIJxWByGXId9YgRqP6hF3evzt8?authuser=0&hl=en&rclk=1
The Terraces at Peachtree Hills Place,4.1,,Assisted living facility,229 Peachtree Hills Ave NE,,Closes soon · Opens 8:30 AM Tue,https://www.peachtreehillsplace.com/theterraces,https://www.google.com/maps/place/The+Terraces+at+Peachtree+Hills+Place/data=!4m7!3m6!1s0x88f505fd847150cf:0x180aa7fe14f33546!8m2!3d33.8174735!4d-84.3788313!16s%2Fg%2F11jmz6b8s5!19sChIJz1BxhP0F9YgRRjXzFP6nChg?authuser=0&hl=en&rclk=1
Sunrise at Huntcliff Summit I,4.3,,Retirement community,8592 Roswell Rd NE,,Open 24 hours,https://www.sunriseseniorliving.com/communities/ga/sunrise-at-huntcliff-summit-i?utm_source=directory_listings&utm_medium=clicks&utm_campaign=google,https://www.google.com/maps/place/Sunrise+at+Huntcliff+Summit+I/data=!4m7!3m6!1s0x88f50b7d088805b1:0x71774f83bdba7d2f!8m2!3d33.987857!4d-84.352276!16s%2Fg%2F1tdjrz_f!19sChIJsQWICH0L9YgRL326vYNPd3E?authuser=0&hl=en&rclk=1
Campbell-Stone Sandy Springs,4.3,,Retirement community,350 Carpenter Dr NE,,Closed · Opens 8 AM Tue,http://www.campbellstone.org/,https://www.google.com/maps/place/Campbell-Stone+Sandy+Springs/data=!4m7!3m6!1s0x88f50e9545c9e101:0xe43a7ead68719acd!8m2!3d33.9151336!4d-84.3762849!16s%2Fg%2F1tlw9x_2!19sChIJAeHJRZUO9YgRzZpxaK1-OuQ?authuser=0&hl=en&rclk=1
