name,rating,reviews,category,address_lane1,phone,status,website,maps_url,address,plus_code,hours,about,lat,lng,photos
ZEN a 55+ Community,4.0,,Apartment complex,11645 North 25th Pl,+1 (602) 635 1455,Open · Closes 6 PM,https://www.zenapts.net/,https://www.google.com/maps/place/ZEN+a+55%2B+Community/data=!4m7!3m6!1s0x14e3da20798cba89:0x9404407b13ccce5a!8m2!3d33.593126!4d-112.0264703!16s%2Fg%2F1vrqb2yd!19sChIJibqMeSDa4xQRWs7ME3tABJQ?authuser=0&hl=en&rclk=1,"11645 North 25th Pl, Phoenix, AZ 85028"," HXVF+7C Phoenix, Arizona","[""Tuesday: 9\u202fAM\u20136\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot""]",33.593126,-112.0264703,
The Forum at Desert Harbor Independent & Assisted Living,4.6,90,Assisted living facility,13840 N Desert Harbor Dr,+1 (623) 972 0995,Open 24 hours,https://stellarliving.com/communities/the-forum-at-desert-harbor-senior-assisted-living-peoria-az/,https://www.google.com/maps/place/The+Forum+at+Desert+Harbor+Independent+%26+Assisted+Living/data=!4m7!3m6!1s0x872b69df3ac88dbd:0x155ab04885acc95a!8m2!3d33.6145823!4d-112.2500363!16s%2Fg%2F1tk23dd2!19sChIJvY3IOt9pK4cRWsmshUiwWhU?authuser=0&hl=en&rclk=1,"13840 N Desert Harbor Dr, Peoria, AZ 85381"," JP7X+RX Peoria, Arizona","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating""]",33.6145823,-112.2500363,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQFkzahlNOMyszp9GX97GDHmjE8cuobtuD_9hufgbo8-v3slnCJGvEUMGeC3HciCnxy6Yhzz-NJ8Bnfyk67S3rzZldHvVlnWAHAWuQJk5-3wAEKX-HPKQMudcFX9cc7w1PEAZ4TjnA7ZBG=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQFkzahlNOMyszp9GX97GDHmjE8cuobtuD_9hufgbo8-v3slnCJGvEUMGeC3HciCnxy6Yhzz-NJ8Bnfyk67S3rzZldHvVlnWAHAWuQJk5-3wAEKX-HPKQMudcFX9cc7w1PEAZ4TjnA7ZBG=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0-RAM32IiK7AUbMIRQgRAsvWj1u5gJndaLGVmTOpGZBeyfi2NxIbBIxu-U4aZP5HdEmVeQ3ZDbqV81JzGQvVlddjXOdZBbcFchb1_MPBwIZBDa0SqIZ7M-rr1WLEcTPsrzSxe780a4n8=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSsarM70YS6XMUAbK-jpn6WrhIxkZ2jvMi4Eucp5YErA_nuhusS1G5nBkRU7h7kGrVIrCVPOXwUIEW2-CtWzBVWv5TV9SU4FMZJY1KvKsmeABzkvbf9ta_WTL55cPBUvBhK6DrTe6U-X0=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaA-GAMM--9sIEvOAy2lnkVwlkEengHQG9Tl5boZfstNSC4t1dr3QFhlw-MB1Ywj-sJrzdfWnFvOuCkmvJj_cNCKKOpT55NPXPmQxhZ4nBmy2rFP2Vwfr0NZkpuEVjFxb1P2-z=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3Sv-sc0mdwEbxxTseOqKwYrUIOFgzP8Z9b-sovCktD0ijrRc-b1qZPnTPvuBA5C5oBcoUp5ZpUzY9kaAMBtAxbm08PigyUS5IifDtr47ac_EDFkbqoGGv9p8k1bFqFQJ2Ou6Eo-jrYdig=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6ujo3Qy0xq9wqZFT7EpnLSRh2e0BHjlMQ8_5TLSEQ7w6uUyO-0Cd4Mqe1Dt4_plQ1bRcdvpOEh1LAwoDZ8_bHoKUkH9tc5BTOfHkwprwH0a0Cu4Hjs0gNCzJ9C8FhifdqOek-v8v0Ef8K=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2Jog6kYT9lyrhNA95g9mKefiIIVYyCydr_z5M1ePDf2r79z_gO-xyoQnDb9nXGy_pilMIYC_oPDA_jjkaTW2B8_gUYJNVaAmtyxbeauK5j3Fesj9KTapkHMGaCmrQxz2K3ecFqHsTYcR3=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFw4_iEadJSIL8t8gVI5G5QbI4lrfBwPk4CGn3PDTSx5qk2QOS7GU41DCFbF0TmUqcJsAQKOumN0kLDauuDlDcjhEe-G4qsn033mHJpjTwAytaqoRddimJ1G9HsXmSPHq4O6f7ZLZ5NFsBk=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6dEsYOjypVlW7RIgnpBUv9k80g4FvbM87RbN-eum4lw8iLz74wpB97HyamcArTJzwVz1FVx39p63lVSFq9RtHVEORQxuZjpFO27h68mLVCzB46RrMbUkunbUV9XS41FXNwMI7FxpMdoQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGjNFtUFS1GkES0qv7QOxnbaeZZ94bVacwEexOTQlMDTf9PMiZuiokFhIZtcWKxSse9M5epSkV6b2jZA78Ka4TJku0P-6j2J-CnGD5_2emgW34TJz9iqpdKWdfI7ip9hcI6Ctjy9Q=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAblVaVtJ9f1ptsD4gDMrXDoJ8cbREAXx37jFd5xFjs4Gtb26HfrAcRczC2_n6Hs7QpW8tN2ZsTG9tFcPOd6PZTaQdt3h6_yUNtDJifW5XGotke9WiZZnw5gcJ4fr2iRNtzgH4=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPM2KDGAbYRrQluIzFsbJC6lzM9ZC20CjoVENdHkWoaZcE2BuRKWtOZkEKlk4p0J_3t28fRQIlohxEYssIsy6J5esXQv7l_1qEE00sumIiiItq3LwruXY0win-Cd74ZemvFOSs=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVrPafRTo8FJavktnVwHPFeSItYHoT_-OYnA3S-L2IKpCQxC1NI3ZeYJt-6jUOWRXynywGm3VhGjdm4h8iaz9y_nAwh0R0dbKHc4uWL_gET7bnJMahSaNfg0y7I-_oiPH_0rsKnG9oJx6X=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsazqttQzcs7udS70zdmtGA_d5JaQq4SK_lO6J-iZsQwp2FvqZnq-VFDBz5Sifri6BT-eZLq8E06g4B5uP_mtmpFQDH7Dit7fnjs6uP10_TSu6sbYLalVmhY-iHN_TX3CsQt2qDQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuju0EjrSS9SFPgo9RDTix38ktrl6fNqblzur_XuQVcySBcXVRxgiuJWk2ojwaZdJo4fa8pUAT2tYDdsqpxp-q9hINq7C0--uUjMpQFCTgdGipuqjSAl-s0ulwVAyO9WXgRKui=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9f5TtvdRhYXhmtV1PuRZyirotAtZdqBmqLaMDfq2hliDgBSaYLbXNCzxNp6LAJDcvWo0GwlJtCKJNhZV6jQX0N7xVssGfC4xaLiqYsHSQ-UnL_cEbVLOyhJ2_0Cssx_zVVQB22g=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKVZOt0soTbUEmxXiVuFS0mf8wBFLSKBrYJ0aFyjoNKvl5umWM6wCptqjY1dThRs5_TzeLJ-RBCEWcY2W0K9ifsYZ-mWZAG0YpifBeJcNdvMXjZR1AUhfwnc2d_s5TZtrMrrTGRQ=s2000-k-no-pi-10-ya160-ro0-fo100, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOlE3-656ULfZtOhRxuBGbOvV6zYa8w67D-mRjnaE5QNeG77jh95LaMvBeRvzGLpEqiHZ1JwZvuiApWdqsfOUqieI32FRxFKBif7DHa8LERndJZKpfLeyQKfsa0ENxKCjBpYqSPQ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxa2Z6cIOQCfDTO_F4kjQkBjZI8JwzFxw0E36YeC_tUZiupXYi7vDmQ60CGsT4NJKq271XDDIw-cwJo-gb8hRwRO3MbrkS24ILiFINcKDh9T-_nEgrR6WXUHLJHvOQb8EkU7TX=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXQS0OFBkncIVGCva4QdNYm78RhxLsCeN_6bD6tCvrRRGucin3Ipl4ymMP-zejvD7B95ZLmUMdGGU5I1Rz7tqXEjN74ImNhAjmt2xrVP36Lr9bG65tRB10ZK64at-J5m15Wr_cSA=s2000-k-no-pi-10-ya60-ro0-fo100, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlodAqZqB7wBwOMgi5H7kQSgl0pq_UW6Y6aBpjY-sjc5OV4nKUEDxrVrKB9RrVnpypojJu8LfOQ0DnXDeIxU-hsc6POyh6u3n7F-a7jIvdAm1zK3KtkWyNe6f--yHRr3m74pqyvg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEL5yggs0W5JAUgBdC7XgGyLs6BjztuTxLwjv6EzYDtD9XwzlDYtE2qcBsAAFz6NsnWWC7prK8Hdl-FRSRZqAy-7jmUmgd5zNTYkxaECOYQzUYTP6AkWhylMzeTPLLKcSEjABA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGV3Y98HsiJCm3-0WqKnyyUdGM9eKIdf9Yk33Y8sy68uxcK-744bh6Cu3XrhSy_6Ur2wUdWPXqdZFILZzRvwNtCfvVHKfOk7HxEC-dR7tQlWkZgmi-xB-oee8EbAA41gaaCNRE=s2000-k-no-pi-20-ya140-ro0-fo100, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZLuvrw-EoO2aajaa22bmbegjBHndIIdwhqqkIZX0ohLPlcIa54ZoIPqGpnl_D3r7t5zwV9hzyq5GwscbzuLBN4pOEDpIuqeee1UTjttDHWVyPkbeRE8vVxjZNcMwDtaGyzrfD=s2000-k-no"
LifeStream at Glendale Independent Living,4.6,37,Retirement community,13617 N 55th Ave,+1 (520) 650 3858,Open 24 hours,https://www.lifestreamatglendale.com/?utm_source=local-listing&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/LifeStream+at+Glendale+Independent+Living/data=!4m7!3m6!1s0x872b696e5d3d8789:0xf12e4980eca75181!8m2!3d33.6095269!4d-112.1767032!16s%2Fg%2F1hc6mvcfb!19sChIJiYc9XW5pK4cRgVGn7IBJLvE?authuser=0&hl=en&rclk=1,"13617 N 55th Ave, Glendale, AZ 85304"," JR5F+R8 Glendale, Arizona","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""From the business: Identifies as women-owned"", ""Parking: On-site parking""]",33.6095269,-112.1767032,
"Christian Care Manors I & III, Independent Living",4.5,9,Retirement home,11830 N 19th Ave,+1 (602) 833 5057,Open · Closes 5 PM,https://www.fellowshipsquareseniorliving.org/campus/az/phoenix/floor-plans-and-prices/subsidized-independent-living/,"https://www.google.com/maps/place/Christian+Care+Manors+I+%26+III,+Independent+Living/data=!4m7!3m6!1s0x872b6c33e640792b:0x8a77508a70270ae!8m2!3d33.5944089!4d-112.1008823!16s%2Fg%2F1vfwd9z0!19sChIJK3lA5jNsK4cRrnACpwh1pwg?authuser=0&hl=en&rclk=1","11830 N 19th Ave, Phoenix, AZ 85029"," HVVX+QJ Phoenix, Arizona","[""Tuesday: 8:30\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 8:30\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 8:30\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 8:30\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: Closed   \ue14d"", ""Sunday: Closed   \ue14d"", ""Monday: 8:30\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating"", ""Service options: Onsite services available"", ""Amenities: gender-neutral restroom"", ""Parking: Free parking lot, Free street parking, On-site parking, Paid parking lot""]",33.5944089,-112.1008823,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrgYM5wqA6k0S0LLURN9fVAv4dSulX6Mz1V9Xdayh1HQuN4pIiNvURLqnhrzbm__bWIXJ-Tph_141Wd2VkKE0ysxc2GdNmv_zQuppix3H-gIfkoOQV-nDNoem0-mNyM7cRLpzZ5A=w32-h32-p-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrgYM5wqA6k0S0LLURN9fVAv4dSulX6Mz1V9Xdayh1HQuN4pIiNvURLqnhrzbm__bWIXJ-Tph_141Wd2VkKE0ysxc2GdNmv_zQuppix3H-gIfkoOQV-nDNoem0-mNyM7cRLpzZ5A=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFK1AD6kxzM9ae2YA-NxQ3LF9T4Z40D1i_ntrWPd2ME39cNTSimOnUA5QelLS-RVB62zTBP4p6EYIUkCAp-7enEsTiNp2_3ZFIvrIcN8nW3XKewDXBC1UVMXg1GYYXBXIK3sHO5Q=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5FX_4UR4zSXz20xZ2lM9KuQkdXkw8gsP40y1uutLyCiWdrScvTDNG5rktoscMshTMu_6jGYTHXXR4lx-B1wa1p0PnnpL3mcjjR4geFiXR3A4QlQoB7uwiHQCt_2WNm8EJXHHH=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUly5JvS-v7BbUpDWPAVBUXlZ4GoYr0U58SEgtMCs2Z21Idwmw5fXSmFIZLh3i0DcwQ3wDs_6q6hF7erLHqPyrzQXp-DuYV225G-tDD3n_TmvsA_PJAs7vI4vv_hRxPxQoriuL=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAGOr34Bf7AOkT_99Y5D4ADXfZzypqYLlpRzlrnH_CyinAWPHT_gnHMytUZucKCJ-MTleQrnFol1zRlJNhZryhrrj-YHwd1ks99QJbT3RBFAvhQpiOP4UeZejz10HFbishhxk0jW=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYyOG0YC7Ra5eXoakSh-iVNOPw94RlnLFW0WsjrFxAZZGG4xwPkvHenWQK9JsLFYn-Sw7Bfek8zJXJLPKyPM6sgxsM1ZtGJF5KUbSIVtpVsAPPaqLPQzvpJwGUV6xr4USPEYUJ=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdz6HExzPTRaymKhmolhleirJWPUs5-HQy0Ti-MFiW6UID04dEVI6vhwmgBmyalBg5yJ_uztuYz7Ga7lbJwy2NNXfWinlXLPEQr9URsiB2yPiaaY_LDoEQyehZYkjt-WTQuzti=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAG71POQEjXF0AQZ5Ir5tYNJkP3IRRr3TCJjjkTRpcybsTuQeIkdxfdbRa-Vc2W4mkqXCqhjzSK4HQuzBIKWJvBWLl__MWBQUadPFC2AoQmP1eG1ZlFRcQSlX2Ca7wDlW5IdX8z8YA=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaEk-HiW2p4Fxg-aRSuGImRxlHq80dHax8rVCqVZPn5Vx9-x5EklkUrtA1uVimpsnUjvw2VTloo6M5WHoHV6tgsnsQs7Ou0VOp_0kT0anJWcuscZUNZHODlPOPKaZt5PsUkUPC=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2NbbZJc4Zhv1dAuI7Pm7yaC03L9iVa8sBlk1uLCrfKXkwuX6Zx5as9Elq7NUwHi_fzWuJv2L1-HTO3-vi2aLY7MxP5I81ikuAAlUNnE1mOhQBeFQC1LtG62oMF93YPUG9KZe0=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhGxKvnr2U4DFMPPsdVlHtTNhoNrRqFyCOPyi6rT5p299xdEFVl5R0DN4ToMGq9jmgcYK9uYdywvUW0lMK2W49X0aMLVWPpBtDNq21HoOSbHy4iqRgXIKuZJJf4qhdsAY2f3ROzg=s2000-k-no, https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTtaGGTxCwWaKpbkGS1_vn9kvYm01R0RE34M5D5e4hCD6s92Pa29nRaJozK1DAThb6V5KxW5Qs9KlfGooQycd3Km1MbJKLjCvnYrWrE14Od2SW1VxeCgvR9PsErQI4Z6Wb5Blo=s2000-k-no"
Westgate Village - A Provincial Senior Living Community,4.7,71,Retirement community,8847 W Glendale Ave,+1 (623) 322 6005,Open · Closes 7:30 PM,https://westgatevillagesl.seniorlivingnearme.com/,https://www.google.com/maps/place/Westgate+Village+-+A+Provincial+Senior+Living+Community/data=!4m7!3m6!1s0x872b402d5fcf7bad:0xeddfeba331820ac!8m2!3d33.537305!4d-112.250182!16s%2Fg%2F11g9nm88_r!19sChIJrXvPXy1AK4cRrCAYM7r-3Q4?authuser=0&hl=en&rclk=1,"8847 W Glendale Ave, Glendale, AZ 85305"," GPPX+WW Glendale, Arizona","[""Tuesday: 7:30\u202fAM\u20137:30\u202fPM   \ue14d"", ""Wednesday: 7:30\u202fAM\u20137:30\u202fPM   \ue14d"", ""Thursday: 7:30\u202fAM\u20137:30\u202fPM   \ue14d"", ""Friday: 7:30\u202fAM\u20137:30\u202fPM   \ue14d"", ""Saturday: 7:30\u202fAM\u20137:30\u202fPM   \ue14d"", ""Sunday: 7:30\u202fAM\u20137:30\u202fPM   \ue14d"", ""Monday: 7:30\u202fAM\u20137:30\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating"", ""Offerings: Serves food"", ""Amenities: gender-neutral restroom"", ""Crowd: LGBTQ+ friendly, Transgender safespace"", ""Parking: On-site parking""]",33.537305,-112.250182,
Senior Living at Henson Village,4.5,7,Apartment complex,1045 S 8th Ave,+1 (602) 252 5260,Open · Closes 5 PM,http://www.seniorlivingathensonvillage.com/,https://www.google.com/maps/place/Senior+Living+at+Henson+Village/data=!4m7!3m6!1s0x872b118621aaf5c9:0x70dea17cd9f50ea1!8m2!3d33.4383811!4d-112.0829391!16s%2Fg%2F11ckt0jx_q!19sChIJyfWqIYYRK4cRoQ712Xyh3nA?authuser=0&hl=en&rclk=1,"1045 S 8th Ave, Phoenix, AZ 85007"," CWQ8+9R Phoenix, Arizona","[""Tuesday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 8\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: Closed   \ue14d"", ""Sunday: Closed   \ue14d"", ""Monday: 8\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Amenities: Pets welcome, swimming pool"", ""Parking: Free parking lot"", ""Pets: Dogs allowed""]",33.4383811,-112.0829391,
Phoenix Manor,3.7,94,Apartment complex,2636 N 41st Ave,+1 (928) 236 0996,Open · Closes 5 PM,https://www.phoenixmanor.com/?utm_source=google,https://www.google.com/maps/place/Phoenix+Manor/data=!4m7!3m6!1s0x872b1484011e0307:0x7cbc5e96b29ffc73!8m2!3d33.477942!4d-112.14917!16s%2Fg%2F1tj4hj0t!19sChIJBwMeAYQUK4cRc_yfspZevHw?authuser=0&hl=en&rclk=1,"2636 N 41st Ave, Phoenix, AZ 85009"," FVH2+58 Phoenix, Arizona","[""Tuesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Sunday: Closed   \ue14d"", ""Monday: 9\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating"", ""Service options: Onsite services available"", ""Amenities: fitness center, hot tub, outdoor space, Pets welcome, swimming pool"", ""Parking: On-site parking"", ""Pets: Dogs allowed""]",33.477942,-112.14917,
Beatitudes Campus,3.3,4,Retirement community,1610 W Glendale Ave,+1 (602) 995 2611,Open · Closes 5 PM,https://beatitudescampus.org/,https://www.google.com/maps/place/Beatitudes+Campus/data=!4m7!3m6!1s0x872b6d27a0d4e5b7:0x4da7077662ef52fd!8m2!3d33.5390496!4d-112.0939325!16s%2Fg%2F1vxzb2gl!19sChIJt-XUoCdtK4cR_VLvYnYHp00?authuser=0&hl=en&rclk=1,"1610 W Glendale Ave, Phoenix, AZ 85021"," GWQ4+JC Phoenix, Arizona",,"[""Accessibility: assistive hearing loop, wheelchair accessible entrance, wheelchair accessible parking lot, wheelchair accessible restroom, wheelchair accessible seating"", ""Service options: Onsite services available, Language assistance"", ""Offerings: Serves food"", ""Amenities: gender-neutral restroom"", ""Crowd: LGBTQ+ friendly, Transgender safespace"", ""Parking: Free parking lot, Free street parking, On-site parking, Paid parking garage, Paid parking lot""]",33.5390496,-112.0939325,
McDowell Village,4.8,141,Assisted living facility,8300 E McDowell Rd,+1 (425) 541 8728,Open 24 hours,https://www.mbkseniorliving.com/senior-living/az/scottsdale/mcdowell-village?utm_source=GBP&utm_medium=organic,https://www.google.com/maps/place/McDowell+Village/data=!4m7!3m6!1s0x872b0982921858bf:0x968d1219312eddbf!8m2!3d33.4669298!4d-111.9026444!16s%2Fg%2F1tfr0x6q!19sChIJv1gYkoIJK4cRv90uMRkSjZY?authuser=0&hl=en&rclk=1,"8300 E McDowell Rd, Scottsdale, AZ 85257"," F38W+QW Scottsdale, Arizona","[""Tuesday: Open 24 hours   \ue14d"", ""Wednesday: Open 24 hours   \ue14d"", ""Thursday: Open 24 hours   \ue14d"", ""Friday: Open 24 hours   \ue14d"", ""Saturday: Open 24 hours   \ue14d"", ""Sunday: Open 24 hours   \ue14d"", ""Monday: Open 24 hours   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Service options: Onsite services available""]",33.4669298,-111.9026444,
Broadway Terrace - Affordable Housing for Seniors 62+,4.3,31,Apartment complex,12815 N 28th Dr,+1 (602) 993 0701,Open · Closes 5 PM,https://mansermar.com/our-communities/broadway-terrace/,https://www.google.com/maps/place/Broadway+Terrace+-+Affordable+Housing+for+Seniors+62%2B/data=!4m7!3m6!1s0x872b6c1f7fd23a43:0x25fc3bc88b334e72!8m2!3d33.602938!4d-112.119214!16s%2Fg%2F1thx4j5z!19sChIJQzrSfx9sK4cRck4zi8g7_CU?authuser=0&hl=en&rclk=1,"12815 N 28th Dr, Phoenix, AZ 85029"," JV3J+58 Phoenix, Arizona","[""Tuesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Wednesday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Thursday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Friday: 9\u202fAM\u20135\u202fPM   \ue14d"", ""Saturday: Closed   \ue14d"", ""Sunday: Closed   \ue14d"", ""Monday: 9\u202fAM\u20135\u202fPM   \ue14d""]","[""Accessibility: wheelchair accessible entrance, wheelchair accessible parking lot"", ""Amenities: fitness center, outdoor space, Pets welcome"", ""Parking: On-site parking"", ""Pets: dog park, Dogs allowed""]",33.602938,-112.119214,
