name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Four Seasons at Bakersfield Recreation Center,4.4,,Recreation center,10500 Toscana Dr,,Open · Closes 7:30 PM,http://fsbhoa.com/,https://www.google.com/maps/place/Four+Seasons+at+Bakersfield+Recreation+Center/data=!4m7!3m6!1s0x80ea6e7442685801:0x28fb24e5b6ec5b3c!8m2!3d35.410298!4d-118.887082!16s%2Fg%2F1263d_n8r!19sChIJAVhoQnRu6oARPFvstuUk-yg?authuser=0&hl=en&rclk=1
Villas At Scenic River,4.8,,Apartment complex,4015 Scenic River Ln,,Open · Closes 4 PM,https://www.villasatscenicriver.com/?utm_knock=gmb,https://www.google.com/maps/place/Villas+At+Scenic+River/data=!4m7!3m6!1s0x80ea6996aaaaaaab:0x9bc8db3533295e1b!8m2!3d35.395379!4d-119.0877249!16s%2Fg%2F1tfrmncz!19sChIJq6qqqpZp6oARG14pMzXbyJs?authuser=0&hl=en&rclk=1
Highgate Regents at Seven Oaks,4.7,,Real estate developer,2203 Gilford St,,Open · Closes 5 PM,http://www.highgatesevenoaks.com/bakersfield/community/regents/,https://www.google.com/maps/place/Highgate+Regents+at+Seven+Oaks/data=!4m7!3m6!1s0x80ea45c066d8cbb3:0x413d67083308681c!8m2!3d35.33518!4d-119.167242!16s%2Fg%2F11f9h00mp8!19sChIJs8vYZsBF6oARHGgIMwhnPUE?authuser=0&hl=en&rclk=1
Brookside Senior Apartments,4.4,,Apartment complex,2605 Brookside Dr,,Open · Closes 5 PM,https://www.brooksidesenior.com/,https://www.google.com/maps/place/Brookside+Senior+Apartments/data=!4m7!3m6!1s0x80ea41751ef0968d:0xab2a3a1cd949dc4!8m2!3d35.3326273!4d-119.0950805!16s%2Fg%2F1tn4ygrd!19sChIJjZbwHnVB6oARxJ2UzaGjsgo?authuser=0&hl=en&rclk=1
Village Park Senior Apartments,4.1,,Apartment building,2300 R St,,,,https://www.google.com/maps/place/Village+Park+Senior+Apartments/data=!4m7!3m6!1s0x80ea6985c2e11f45:0xb7f6042fb16e6971!8m2!3d35.380449!4d-119.0091661!16s%2Fg%2F1v1kq547!19sChIJRR_hwoVp6oARcWlusS8E9rc?authuser=0&hl=en&rclk=1
Mill Creek Village,4.3,,Apartment complex,508 18th St,,Open · Closes 5 PM,,https://www.google.com/maps/place/Mill+Creek+Village/data=!4m7!3m6!1s0x80ea69879ce3a151:0xe03ce430a799a72b!8m2!3d35.375441!4d-119.0075519!16s%2Fg%2F11c328npg7!19sChIJUaHjnIdp6oARK6eZpzDkPOA?authuser=0&hl=en&rclk=1
Redwood Village,2.5,,Assisted living facility,5400 Stine Rd,,,,https://www.google.com/maps/place/Redwood+Village/data=!4m7!3m6!1s0x80ea402368686d3f:0x54320ff43d0bed9a!8m2!3d35.3061619!4d-119.05637!16s%2Fg%2F113jq2dr5!19sChIJP21oaCNA6oARmu0LPfQPMlQ?authuser=0&hl=en&rclk=1
Union Villa,1.0,,Assisted living facility,1102 S Union Ave,,Open · Closes 5 PM,,https://www.google.com/maps/place/Union+Villa/data=!4m7!3m6!1s0x80ea6a53b27ed4c1:0x8042a5e6e66499f3!8m2!3d35.3431985!4d-119.0027155!16s%2Fg%2F1td184rb!19sChIJwdR-slNq6oAR85lk5ualQoA?authuser=0&hl=en&rclk=1
Park Place Apartments,4.0,,Apartment building,2250 R St,,,http://kernha.org/wp/affordable-housing/find-housing/senior-housing/,https://www.google.com/maps/place/Park+Place+Apartments/data=!4m7!3m6!1s0x80ea6985d60fd9f7:0xaffaed4500239212!8m2!3d35.3797626!4d-119.0088516!16s%2Fg%2F1tfv5flg!19sChIJ99kP1oVp6oAREpIjAEXt-q8?authuser=0&hl=en&rclk=1
Florence Gardens Club House,5.0,,Apartment building,6701 Auburn St,,,,https://www.google.com/maps/place/Florence+Gardens+Club+House/data=!4m7!3m6!1s0x80ea6e9d8595d8b9:0x8d8249051cf9be12!8m2!3d35.397633!4d-118.921483!16s%2Fg%2F1thq5l_0!19sChIJudiVhZ1u6oAREr75HAVJgo0?authuser=0&hl=en&rclk=1
Highgate at Seven Oaks,4.1,,Real estate developer,2203 Gilford St,,Open · Closes 5 PM,http://www.highgatesevenoaks.com/,https://www.google.com/maps/place/Highgate+at+Seven+Oaks/data=!4m7!3m6!1s0x80ea441c4fa6d39d:0x89bd80b374b4bdc!8m2!3d35.33518!4d-119.167242!16s%2Fg%2F11g782vj_r!19sChIJndOmTxxE6oAR3EtLNwvYmwg?authuser=0&hl=en&rclk=1
Pine Haven Assisted Living (RCFE),,,Assisted living facility,4803 Christmas Tree Ln,,Open 24 hours,https://pinehavenhome.com/,https://www.google.com/maps/place/Pine+Haven+Assisted+Living+%28RCFE%29/data=!4m7!3m6!1s0xaf8a77a2fb3d18d1:0xb2cfa15ef95b7686!8m2!3d35.4074555!4d-118.9397216!16s%2Fg%2F11xhbbgkt2!19sChIJ0Rg9-6J3iq8RhnZb-V6hz7I?authuser=0&hl=en&rclk=1
