name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Ascension Living Resurrection Village,4.8,,Assisted living facility,7262 W Peterson Ave,,Open · Closes 5 PM,https://ascensionliving.org/resurrectionvillage,https://www.google.com/maps/place/Ascension+Living+Resurrection+Village/data=!4m7!3m6!1s0x880fc970c4d5b643:0xc2e2d2d52f75bc4b!8m2!3d41.9910718!4d-87.8105833!16s%2Fg%2F1td3gmff!19sChIJQ7bVxHDJD4gRS7x1L9XS4sI?authuser=0&hl=en&rclk=1
Pioneer Gardens,4.0,,Assisted living facility,3800 S King Dr,,Open 24 hours,https://pioneergardenscommunity.com/,https://www.google.com/maps/place/Pioneer+Gardens/data=!4m7!3m6!1s0x880e2bf81e396009:0xf28d15b579b49ed6!8m2!3d41.8253265!4d-87.6175792!16s%2Fg%2F1td65xbs!19sChIJCWA5HvgrDogR1p60ebUVjfI?authuser=0&hl=en&rclk=1
Discovery Commons Orland Park,4.6,,Assisted living facility,7420 West 159th Street,,Open 24 hours,/aclk?sa=L&ai=DChsSEwjyker2goqVAxVuuykDHS1rFrcYACICCAEQCxoCdGI&co=1&ase=2&gclid=EAIaIQobChMI8pHq9oKKlQMVbrspAx0taxa3EBAYASAAEgKPOfD_BwE&cid=CAASuwHkaNvpfcIE7Gr63kktZm2c7j8kqjXYNub5HNVTJ_k2pc55ySv-1JraCK9Ta5ynd41NGjFxwe4CSpB5iKgy3gzwOHFw5xZrPqESPVuJT4Z6r22Y6UstP29CcsWktrxnMS0bBUkF4TIBfY6IAcATm1ZOHaIxsAEPSRFwCvmwuczC-SSx1MbhqThWrIkrJ-X_Zy4jih1Ij0VW2naYnuIz8un6BPZiS5VBFnT_TVcB4AwN9mCYRTVieJHAIRJC&cce=2&category=acrcp_v1_37&sig=AOD64_31JjjE978GHlxETigOVfBdcYk4Cw&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/Discovery+Commons+Orland+Park/data=!4m7!3m6!1s0x880e3e412e486ce9:0x1aa6f6e9c7c3ebd6!8m2!3d41.603627!4d-87.800738!16s%2Fg%2F11hbk4sttn!19sChIJ6WxILkE-DogR1uvDx-n2pho?authuser=0&hl=en&rclk=1
Andersonville Supportive Living,4.2,,Retirement community,4950 N Ashland Ave,,Open 24 hours,https://andersonvilleseniorliving.com/,https://www.google.com/maps/place/Andersonville+Supportive+Living/data=!4m7!3m6!1s0x880fd3a43bdf9461:0x2008c9f2a77dc22a!8m2!3d41.9721905!4d-87.6700938!16s%2Fg%2F1tqnm6_k!19sChIJYZTfO6TTD4gRKsJ9p_LJCCA?authuser=0&hl=en&rclk=1
Eden Supportive Living,4.8,,Assisted living facility,940 W Gordon Terrace,,Open 24 hours,http://www.edenslf.com/,https://www.google.com/maps/place/Eden+Supportive+Living/data=!4m7!3m6!1s0x880fd3ca3459590b:0xae4261ea80c2d293!8m2!3d41.9574379!4d-87.6541987!16s%2Fg%2F1tc_4ptq!19sChIJC1lZNMrTD4gRk9LCgOphQq4?authuser=0&hl=en&rclk=1
Eden Supportive Living,4.5,,Assisted living facility,7156 S Dorchester Ave,,Open 24 hours,http://www.edenslf.com/,https://www.google.com/maps/place/Eden+Supportive+Living/data=!4m7!3m6!1s0x880e29fb1c0815bf:0x7d0cac40b5298d8e!8m2!3d41.7644336!4d-87.5918812!16s%2Fg%2F11f2cl7nn7!19sChIJvxUIHPspDogRjo0ptUCsDH0?authuser=0&hl=en&rclk=1
Buckingham Pavilion Nursing and Rehabilitation,4.7,,Nursing home,2625 W Touhy Ave,,Open 24 hours,http://www.buckinghampavilion.com/,https://www.google.com/maps/place/Buckingham+Pavilion+Nursing+and+Rehabilitation/data=!4m7!3m6!1s0x880fd1d5b91a431b:0xebfbf755792b8bc8!8m2!3d42.0118717!4d-87.696196!16s%2Fg%2F1trplt69!19sChIJG0MaudXRD4gRyIsreVX3--s?authuser=0&hl=en&rclk=1
Summit of Uptown,4.7,,Assisted living facility,10 N Summit Ave,,Open 24 hours,https://www.arborcompany.com/locations/illinois/park-ridge-summit-of-uptown?utm_campaign=gmb&utm_medium=organic&utm_source=google_business_profile,https://www.google.com/maps/place/Summit+of+Uptown/data=!4m7!3m6!1s0x880fc9b6e8ad2899:0x45d3718188a01295!8m2!3d42.0115427!4d-87.8324106!16s%2Fg%2F1ts3lt43!19sChIJmSit6LbJD4gRlRKgiIFx00U?authuser=0&hl=en&rclk=1
Paul House and Healthcare Center,3.9,,Assisted living facility,3800 N California Ave,,Open 24 hours,http://www.paulhousehc.com/,https://www.google.com/maps/place/Paul+House+and+Healthcare+Center/data=!4m7!3m6!1s0x880fcd78abb1d529:0xd14545fcf6f6b11!8m2!3d41.9508559!4d-87.6988528!16s%2Fg%2F11k0v7g56h!19sChIJKdWxq3jND4gREWtvz19UFA0?authuser=0&hl=en&rclk=1
The Indigo at Elmhurst,4.5,,Retirement community,123 West Brush Hill Road,,Open 24 hours,/aclk?sa=L&ai=DChsSEwicwa36goqVAxUQNggFHYYoA94YACICCAEQABoCbWQ&co=1&ase=2&gclid=EAIaIQobChMInMGt-oKKlQMVEDYIBR2GKAPeEBAYASAAEgIGivD_BwE&cid=CAASuwHkaNOLNaQ09OV9NwWI2r9jaTZs0D7bW7rAF8zOcqqjw3O5ZAvmbCyAQZ9brK57Jvzc1VGLpe4YM003oeyU3NC4lSxnR3jnrWTD5V2vqEY3iKUUM4PnB8E8oc46t5VUdWoAieRmj8S4qJZEU9RfVvoTuZD79D1XXGPbgVe3crHvFgrV3APWw-Ukn2AzA4SNDSaRNKBlF2abzgbwN0JiJRMqq7Z7tXKFzKajdBehD6GzOsOgqnN7GO1rXg5i&cce=2&category=acrcp_v1_32&sig=AOD64_2BKDl6um2bYIlkr-fsKIXrcPzVKA&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/The+Indigo+at+Elmhurst/data=!4m7!3m6!1s0x880e4c876994c3e5:0xa82795d927568eba!8m2!3d41.862083!4d-87.939471!16s%2Fg%2F11d_rhwhzg!19sChIJ5cOUaYdMDogRuo5WJ9mVJ6g?authuser=0&hl=en&rclk=1
