name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Buena Vida Senior Village,4.1,,Apartment rental agency,4650 Old Brownsville Rd,,Closes soon · Opens 8:30 AM Tue,http://buenavidaseniorvillage.com/,https://www.google.com/maps/place/Buena+Vida+Senior+Village/data=!4m7!3m6!1s0x8668607cf6cce7bd:0x74dd63de4ac8af17!8m2!3d27.767332!4d-97.446581!16s%2Fg%2F1tc_92v3!19sChIJvefM9nxgaIYRF6_ISt5j3XQ?authuser=0&hl=en&rclk=1
Windsor Nursing and Rehabilitation Center of Corpus Christi,3.9,,Nursing home,3030 Fig St,,Open 24 hours,https://www.regencyhealthcare.com/locations/windsor-nursing-and-rehabilitation-center-of-corpus-christi/,https://www.google.com/maps/place/Windsor+Nursing+and+Rehabilitation+Center+of+Corpus+Christi/data=!4m7!3m6!1s0x86685fb73fe5c491:0x30438b8325efc9aa!8m2!3d27.762916!4d-97.412412!16s%2Fg%2F113jk_61g!19sChIJkcTlP7dfaIYRqsnvJYOLQzA?authuser=0&hl=en&rclk=1
Corpus Christi State Living Center,2.8,,Assisted living facility,902 Airport Rd,,Open · Closes 9 PM,https://www.hhs.texas.gov/services/disability/intellectual-or-developmental-disabilities-idd-long-term-care/state-supported-living-centers-sslcs/corpus-christi-state-supported-living-center,https://www.google.com/maps/place/Corpus+Christi+State+Living+Center/data=!4m7!3m6!1s0x86685fd521ada75b:0xe6915d75b07fccba!8m2!3d27.7725671!4d-97.436456!16s%2Fg%2F1trc5d3l!19sChIJW6etIdVfaIYRusx_sHVdkeY?authuser=0&hl=en&rclk=1
Hacienda Senior Apartments,4.0,,Apartments,2625 Greenwood Dr,,Closes soon · Opens 9 AM Tue,https://prosperahcs.org/portfolio-posts/hacienda-senior-apartments/,https://www.google.com/maps/place/Hacienda+Senior+Apartments/data=!4m7!3m6!1s0x86685e3380802b07:0xe7da765221b4758a!8m2!3d27.775651!4d-97.421913!16s%2Fg%2F1tp8_gpc!19sChIJByuAgDNeaIYRinW0IVJ22uc?authuser=0&hl=en&rclk=1
Sea Gulf Villa Apartments,4.3,,Apartment building,416 N Chaparral St,,,https://www.seagulfvilla.com/,https://www.google.com/maps/place/Sea+Gulf+Villa+Apartments/data=!4m7!3m6!1s0x86685ef5693c087d:0xd0b83bcaa2858e91!8m2!3d27.7956834!4d-97.393874!16s%2Fg%2F1vc_qsx9!19sChIJfQg8afVeaIYRkY6Foso7uNA?authuser=0&hl=en&rclk=1
Briarwood Apartments,4.4,,Low income housing program,1701 Thames Dr,,Closes soon · Opens 8 AM Tue,http://www.hud.gov/,https://www.google.com/maps/place/Briarwood+Apartments/data=!4m7!3m6!1s0x8668f5d791fd78e7:0xde7f0c81f0b6e534!8m2!3d27.6941865!4d-97.353292!16s%2Fg%2F1w112mdm!19sChIJ53j9kdf1aIYRNOW28IEMf94?authuser=0&hl=en&rclk=1
Corpus Christi Athletic Club,4.6,,,2101 Airline Rd,,Open · Closes 10 PM,https://www.corpuschristiathleticclub.com/membership/,https://www.google.com/maps/place/Corpus+Christi+Athletic+Club/data=!4m7!3m6!1s0x8668f5cfa7f4e405:0x3ab553e0132d6156!8m2!3d27.6920672!4d-97.3645413!16s%2Fg%2F1tdr8mbf!19sChIJBeT0p8_1aIYRVmEtE-BTtTo?authuser=0&hl=en&rclk=1
Casa Apartments,3.3,,Apartment building,3401 S Alameda St,,Closes soon · Opens 8:30 AM Tue,http://www.casa-apartments.com/,https://www.google.com/maps/place/Casa+Apartments/data=!4m7!3m6!1s0x86685f732e23d0b7:0x82ffce6e372ae041!8m2!3d27.7505253!4d-97.3879838!16s%2Fg%2F1tczfb42!19sChIJt9AjLnNfaIYRQeAqN27O_4I?authuser=0&hl=en&rclk=1
Midtown Corpus Christi,3.7,,Apartment complex,6501 McArdle Rd,,Open · Closes 6 PM,https://midtowncorpus.com/,https://www.google.com/maps/place/Midtown+Corpus+Christi/data=!4m7!3m6!1s0x8668f5df7c4590d1:0xe017933b3ae2c93a!8m2!3d27.7017651!4d-97.3518246!16s%2Fg%2F11clvhk5d7!19sChIJ0ZBFfN_1aIYROsniOjuTF-A?authuser=0&hl=en&rclk=1
Seascape,3.5,,Mobile home dealer,6301 Old Brownsville Rd,,Open · Closes 6 PM,https://yescommunities.com/community/seascape,https://www.google.com/maps/place/Seascape/data=!4m7!3m6!1s0x866861cd4ab5f3bd:0x7f53208b74cd583f!8m2!3d27.7361633!4d-97.4817545!16s%2Fg%2F1hc523h2_!19sChIJvfO1Ss1haIYRP1jNdIsgU38?authuser=0&hl=en&rclk=1
Bay Club,4.2,,Apartment complex,9350 S Padre Island Dr,,Open · Closes 6 PM,http://www.mybayclub.com/,https://www.google.com/maps/place/Bay+Club/data=!4m7!3m6!1s0x8668f70443a71101:0xef1b432565def53c!8m2!3d27.6769952!4d-97.3017551!16s%2Fg%2F1wv_sn9k!19sChIJARGnQwT3aIYRPPXeZSVDG-8?authuser=0&hl=en&rclk=1
South Pointe,4.2,,Apartment complex,5725 Curtis Clark Dr,,Open · Closes 6 PM,https://southpointeaptstx.com/,https://www.google.com/maps/place/South+Pointe/data=!4m7!3m6!1s0x8668f5c12f5d96bf:0xb5060ce93598332e!8m2!3d27.701176!4d-97.371035!16s%2Fg%2F1vpfjzks!19sChIJv5ZdL8H1aIYRLjOYNekMBrU?authuser=0&hl=en&rclk=1
Andy Alaniz Gardens,3.5,,Apartment complex,3801 Violet Rd,,Closed · Opens 8 AM Tue,https://hacc.org/bluebonnet-gardens/,https://www.google.com/maps/place/Andy+Alaniz+Gardens/data=!4m7!3m6!1s0x866864c6a3008c35:0x58144cccdab4786c!8m2!3d27.838238!4d-97.5965463!16s%2Fg%2F1thbx2h3!19sChIJNYwAo8ZkaIYRbHi02sxMFFg?authuser=0&hl=en&rclk=1
Bluebonnet Gardens,1.0,,Apartment rental agency,3740 S Port Ave,,Closes soon · Opens 8 AM Tue,http://www.mybbg.org/,https://www.google.com/maps/place/Bluebonnet+Gardens/data=!4m7!3m6!1s0x86685f27a7222607:0xf4d04367aa93b05d!8m2!3d27.7587862!4d-97.4196713!16s%2Fg%2F11wfhr8t7c!19sChIJByYipydfaIYRXbCTqmdD0PQ?authuser=0&hl=en&rclk=1
Tuscana Bay Apartments,4.4,,Apartment complex,2921 Airline Rd,,Closes soon · Opens 10 AM Tue,https://www.tuscanabayapartmentscorpuschristi.com/,https://www.google.com/maps/place/Tuscana+Bay+Apartments/data=!4m7!3m6!1s0x8668f43114aee983:0x9d89acef1da55b23!8m2!3d27.6742105!4d-97.3648253!16s%2Fg%2F1q62n50fj!19sChIJg-muFDH0aIYRI1ulHe-siZ0?authuser=0&hl=en&rclk=1
Carmel Manor,3.6,,Apartment complex,1001 Carmel Pkwy,,Closes soon · Opens 8:30 AM Tue,,https://www.google.com/maps/place/Carmel+Manor/data=!4m7!3m6!1s0x86685f623b5d6f47:0xa57364b222fdea6d!8m2!3d27.7302297!4d-97.3795114!16s%2Fg%2F11cjkgwskf!19sChIJR29dO2JfaIYRber9IrJkc6U?authuser=0&hl=en&rclk=1
Harbor House on Saratoga,3.9,,Apartment rental agency,6225 Saratoga Blvd,,Open · Closes 6 PM,https://www.harborhousetx.com/,https://www.google.com/maps/place/Harbor+House+on+Saratoga/data=!4m7!3m6!1s0x8668f436771afef1:0x52a4db21fd19bae8!8m2!3d27.6785896!4d-97.3710268!16s%2Fg%2F1th87kcx!19sChIJ8f4adzb0aIYR6LoZ_SHbpFI?authuser=0&hl=en&rclk=1
