name,rating,reviews,category,address_lane1,phone,status,website,maps_url
The Villages of Lake Highlands,4.4,,Assisted living facility,8615 Lullwater Dr,,Open 24 hours,http://villagesoflakehighlands.com/,https://www.google.com/maps/place/The+Villages+of+Lake+Highlands/data=!4m7!3m6!1s0x864ea0f79184498d:0x75a7df7fabbe2fa8!8m2!3d32.8660613!4d-96.7050618!16s%2Fg%2F11b7362d_k!19sChIJjUmEkfegToYRqC--q3_fp3U?authuser=0&hl=en&rclk=1
Avalon Memory Care,5.0,,Assisted living facility,4330 Allencrest Ln,,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c20b4cbd81043:0x1ac19a4846fda7c2!8m2!3d32.9107603!4d-96.8347544!16s%2Fg%2F1s04j4jj0!19sChIJQxDYy7QgTIYRwqf9RkiawRo?authuser=0&hl=en&rclk=1
Avalon Memory Care,5.0,,Assisted living facility,7355 Royal Cir,,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c20762473f079:0xcd53bddb64c448de!8m2!3d32.8958054!4d-96.7779835!16s%2Fg%2F11bbrky0x9!19sChIJefBzJHYgTIYR3kjEZNu9U80?authuser=0&hl=en&rclk=1
The Villages of Dallas,4.2,,Assisted living facility,550 Ann Arbor Ave,,Open 24 hours,http://thevillagesofdallas.com/,https://www.google.com/maps/place/The+Villages+of+Dallas/data=!4m7!3m6!1s0x864e97af4d376091:0xeaf0b1acb2e1830e!8m2!3d32.6911074!4d-96.8164764!16s%2Fg%2F11ghdjy3x3!19sChIJkWA3Ta-XToYRDoPhsqyx8Oo?authuser=0&hl=en&rclk=1
Avalon Memory Care,4.3,,Assisted living facility,13215 Hughes Cir #5321,,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c20fa11547ccb:0x653398c19d5d5d54!8m2!3d32.9289668!4d-96.7985845!16s%2Fg%2F1s04h9c29!19sChIJy3xUEfogTIYRVF1dncGYM2U?authuser=0&hl=en&rclk=1
Avalon Memory Care,5.0,,Assisted living facility,"7821, 6217 Crestmere Dr",,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c2106602c4acb:0xadea509b4ee01659!8m2!3d32.9476962!4d-96.796404!16s%2Fg%2F11bbrmsg53!19sChIJy0osYAYhTIYRWRbgTptQ6q0?authuser=0&hl=en&rclk=1
Lakewest Assisted Living,4.1,,Nursing home,3494 Kingbridge St,,Open 24 hours,https://lakewestal.com/,https://www.google.com/maps/place/Lakewest+Assisted+Living/data=!4m7!3m6!1s0x864e9b90d066ce4b:0xd68e92b3dfaa7487!8m2!3d32.7837574!4d-96.8628019!16s%2Fg%2F11b7gs7bh6!19sChIJS85m0JCbToYRh3Sq37OSjtY?authuser=0&hl=en&rclk=1
Avalon Memory Care,3.7,,Assisted living facility,6908 Quarterway Dr,,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c21a635b862b1:0x7f81daa7e955245f!8m2!3d32.9521271!4d-96.7893201!16s%2Fg%2F11bbrhzj9n!19sChIJsWK4NaYhTIYRXyRV6afagX8?authuser=0&hl=en&rclk=1
Avalon Memory Care,1.0,,Assisted living facility,7315 Glendora Ave,,Open 24 hours,http://avalonmemorycare.com/locations/dallas/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864e9fdb420ca1e9:0xda738681c2058033!8m2!3d32.8855385!4d-96.777135!16s%2Fg%2F1s04bmmhk!19sChIJ6aEMQtufToYRM4AFwoGGc9o?authuser=0&hl=en&rclk=1
Grand Brook Memory Care of Garland,5.0,,Assisted living facility,5600 N Shiloh Rd,,Open 24 hours,https://grandbrook.com/communities/garland/,https://www.google.com/maps/place/Grand+Brook+Memory+Care+of+Garland/data=!4m7!3m6!1s0x864c1e9fd1a75e47:0x5617e355887af7d6!8m2!3d32.966467!4d-96.664314!16s%2Fg%2F1tfydzpz!19sChIJR16n0Z8eTIYR1vd6iFXjF1Y?authuser=0&hl=en&rclk=1
Grand Brook Memory Care of Carrollton – Alzheimer’s & Dementia Assisted Living,4.5,,Assisted living facility,1800 King Arthur Blvd,,Open 24 hours,https://grandbrook.com/communities/carrollton/,https://www.google.com/maps/place/Grand+Brook+Memory+Care+of+Carrollton+%E2%80%93+Alzheimer%E2%80%99s+%26+Dementia+Assisted+Living/data=!4m7!3m6!1s0x864c2505294f25ab:0x338215962671a863!8m2!3d33.0348385!4d-96.8863557!16s%2Fg%2F1th5jw3z!19sChIJqyVPKQUlTIYRY6hxJpYVgjM?authuser=0&hl=en&rclk=1
St Joseph's Residence Inc.,4.1,,Assisted living facility,330 W Pembroke Ave,,Closed · Opens 9 AM Tue,http://www.stjr.org/,https://www.google.com/maps/place/St+Joseph%27s+Residence+Inc./data=!4m7!3m6!1s0x864e998cf964669d:0xae336f49407356d4!8m2!3d32.7379764!4d-96.8277636!16s%2Fg%2F1thw741g!19sChIJnWZk-YyZToYR1FZzQElvM64?authuser=0&hl=en&rclk=1
Avalon Memory Care,4.4,,Assisted living facility,4229 Marsh Ln,,Open 24 hours,https://avalonmemorycare.com/location/carrollton/,https://www.google.com/maps/place/Avalon+Memory+Care/data=!4m7!3m6!1s0x864c2461c31be48f:0xcd7bd3e1a7914574!8m2!3d33.0236043!4d-96.8533175!16s%2Fg%2F11bbrjh2kx!19sChIJj-Qbw2EkTIYRdEWRp-HTe80?authuser=0&hl=en&rclk=1
The Bentley - Sky Active Living,4.3,,Retirement community,3362 Forest Ln,,Open · Closes 7:30 PM,https://thebentleyseniorliving.com/,https://www.google.com/maps/place/The+Bentley+-+Sky+Active+Living/data=!4m7!3m6!1s0x864c276db2876c27:0xe0331c9f79902e51!8m2!3d32.9091132!4d-96.8652213!16s%2Fg%2F1v3_328t!19sChIJJ2yHsm0nTIYRUS6QeZ8cM-A?authuser=0&hl=en&rclk=1
Arden Courts (Richardson),4.8,,Assisted living facility,410 Buckingham Rd,,Open 24 hours,https://www.arden-courts.com/communities/richardson?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/Arden+Courts+%28Richardson%29/data=!4m7!3m6!1s0x864c1f99ac5cf4bb:0x7a18a4326b319f43!8m2!3d32.9339227!4d-96.7309085!16s%2Fg%2F1tjl69jr!19sChIJu_RcrJkfTIYRQ58xazKkGHo?authuser=0&hl=en&rclk=1
