name,rating,reviews,category,address_lane1,phone,status,website,maps_url
BeeHive Homes of Henderson,5.0,,Assisted living facility,1000 Greenway Rd,,Open · Closes 7 PM,https://beehivehomes.com/locations/henderson/,https://www.google.com/maps/place/BeeHive+Homes+of+Henderson/data=!4m7!3m6!1s0x80c8d469f2f94399:0xd8ecd555189acc8e!8m2!3d35.9977117!4d-114.9761964!16s%2Fg%2F1pztnr_sy!19sChIJmUP58mnUyIARjsyaGFXV7Ng?authuser=0&hl=en&rclk=1
Caring Angels Henderson,4.4,,Assisted living facility,2249 Early Frost Ave,,Open 24 hours,http://www.caringangelshenderson.com/,https://www.google.com/maps/place/Caring+Angels+Henderson/data=!4m7!3m6!1s0x80c8d11fe1b353a9:0x3899d605fb7c90a8!8m2!3d36.0089344!4d-115.0883463!16s%2Fg%2F11t71f_1dv!19sChIJqVOz4R_RyIARqJB8-wXWmTg?authuser=0&hl=en&rclk=1
MorningStar Senior Living at Westgate,4.0,,Assisted living facility,2910 W Horizon Ridge Pkwy,,Open 24 hours,https://www.morningstarseniorliving.com/communities/senior-living-henderson-westgate/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/MorningStar+Senior+Living+at+Westgate/data=!4m7!3m6!1s0x80c8ce0c66f4f965:0xb871951dc1765133!8m2!3d35.999388!4d-115.114269!16s%2Fg%2F1hdz9y8ft!19sChIJZfn0ZgzOyIARM1F2wR2Vcbg?authuser=0&hl=en&rclk=1
Best Assisted Living Henderson - Luxury Senior Living Henderson NV & Senior Care Nevada,4.0,,Assisted living facility,900 W Warm Springs Rd,,Open 24 hours,,https://www.google.com/maps/place/Best+Assisted+Living+Henderson+-+Luxury+Senior+Living+Henderson+NV+%26+Senior+Care+Nevada/data=!4m7!3m6!1s0x80c8d116a0b173f1:0x5661e60eb7a96a4f!8m2!3d36.0571773!4d-115.0248284!16s%2Fg%2F1tc_8y_p!19sChIJ8XOxoBbRyIART2qptw7mYVY?authuser=0&hl=en&rclk=1
Henderson Senior Living,5.0,,Assisted living facility,2690 Celebrate Ct,,Open · Closes 5 PM,https://www.hendersonseniorliving.net/,https://www.google.com/maps/place/Henderson+Senior+Living/data=!4m7!3m6!1s0x80c8cf1ef0120123:0xa142b7833c90acb0!8m2!3d36.0266175!4d-115.1130559!16s%2Fg%2F11xvzskbvk!19sChIJIwES8B7PyIARsKyQPIO3QqE?authuser=0&hl=en&rclk=1
Green Valley Senior Care Home,4.9,,Group home,2269 Alanhurst Dr,,Open 24 hours,http://gvseniorcare.com/,https://www.google.com/maps/place/Green+Valley+Senior+Care+Home/data=!4m7!3m6!1s0xa6cdf2e927eb9711:0x780d163fd5c9d78e!8m2!3d36.0109482!4d-115.0907555!16s%2Fg%2F11sg1t23wn!19sChIJEZfrJ-nyzaYRjtfJ1T8WDXg?authuser=0&hl=en&rclk=1
Oasis Nursing & Rehab of Green Valley (Formerly Delmar Gardens),4.7,,Nursing home,100 Delmar Gardens Dr,,Open 24 hours,https://oasisnursingrehab.com/,https://www.google.com/maps/place/Oasis+Nursing+%26+Rehab+of+Green+Valley+%28Formerly+Delmar+Gardens%29/data=!4m7!3m6!1s0x80c8ce298b9b7cf7:0x7087776b740162cf!8m2!3d36.033035!4d-115.095734!16s%2Fg%2F1tgh37wc!19sChIJ93ybiynOyIARz2IBdGt3h3A?authuser=0&hl=en&rclk=1
Coronado Ridge Skilled Nursing and Rehabilitation Center,4.3,,Nursing home,2855 W Horizon Ridge Pkwy,,Open 24 hours,https://crnursingandrehab.com/,https://www.google.com/maps/place/Coronado+Ridge+Skilled+Nursing+and+Rehabilitation+Center/data=!4m7!3m6!1s0x80c8ce0bfdf2efd1:0x551f4051551415da!8m2!3d35.9981333!4d-115.1126406!16s%2Fg%2F11g69_whjs!19sChIJ0e_y_QvOyIAR2hUUVVFAH1U?authuser=0&hl=en&rclk=1
Pacific Pines Senior Living Apartments,4.0,,Apartment complex,132 E Pacific Ave,,Open · Closes 6 PM,http://pacificpines.nevadahand.org/,https://www.google.com/maps/place/Pacific+Pines+Senior+Living+Apartments/data=!4m7!3m6!1s0x80c8d6bc98691aad:0x5d45c7cceb2e5e41!8m2!3d36.034701!4d-114.9807281!16s%2Fg%2F1tdkxz69!19sChIJrRppmLzWyIARQV4u68zHRV0?authuser=0&hl=en&rclk=1
Vintage at Seven Hills 55+ Community,4.6,,Apartment rental agency,845 Seven Hills Dr,,Open · Closes 5 PM,https://www.vintageatsevenhills.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=GBP&utm_medium=organic,https://www.google.com/maps/place/Vintage+at+Seven+Hills+55%2B+Community/data=!4m7!3m6!1s0x80c8ce76b01258ef:0x1daa2c764cc8e0e4!8m2!3d35.9956463!4d-115.1247618!16s%2Fg%2F1thcsmkp!19sChIJ71gSsHbOyIAR5ODITHYsqh0?authuser=0&hl=en&rclk=1
