name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Lone Star Living,4.7,,Retirement community,10680 Westbrae Pkwy,,Open · Closes 6 PM,https://www.lonestarseniorliving.com/?utm_campaign=gmb,https://www.google.com/maps/place/Lone+Star+Living/data=!4m7!3m6!1s0x8640e825674c7a31:0x1b9ed7a974676dd!8m2!3d29.663353!4d-95.5306768!16s%2Fg%2F1tg9t20s!19sChIJMXpMZyXoQIYR3XZGl3rtuQE?authuser=0&hl=en&rclk=1
King's Reserve Willowbrook 55+ Active Adult Living,4.6,,Retirement community,7575 Willow Chase Blvd,,Open · Closes 5 PM,https://www.kingsreservewillowbrook.com/?utm_knock=g,https://www.google.com/maps/place/King%27s+Reserve+Willowbrook+55%2B+Active+Adult+Living/data=!4m7!3m6!1s0x8640cde9803d7f63:0xe612e135f4de0ef5!8m2!3d29.9673557!4d-95.5434387!16s%2Fg%2F11bbrmncm9!19sChIJY389gOnNQIYR9Q7e9DXhEuY?authuser=0&hl=en&rclk=1
Pegasus Preserve of Vintage Park,4.5,,Retirement community,14221 Vintage Preserve Pkwy,,Open 24 hours,https://www.pegasusseniorliving.com/pegasus-preserve-of-vintage-park/,https://www.google.com/maps/place/Pegasus+Preserve+of+Vintage+Park/data=!4m7!3m6!1s0x8640cd7e76cefa3f:0x87dea9c3fa610fc2!8m2!3d29.9940137!4d-95.5749673!16s%2Fg%2F11bwfljfrt!19sChIJP_rOdn7NQIYRwg9h-sOp3oc?authuser=0&hl=en&rclk=1
Lofts at Katy Ranch 55+ Active Adult Living,4.7,,Apartment complex,24922 Katy Ranch Road,,Open · Closes 5:30 PM,/aclk?sa=L&ai=DChsSEwiCpfvFg4qVAxW4JoMDHQ0oPBMYACICCAEQARoCc2Y&co=1&ase=2&gclid=EAIaIQobChMIgqX7xYOKlQMVuCaDAx0NKDwTEBAYASAAEgKYmPD_BwE&cid=CAASuwHkaKMJemZLMPqCsOui66wPK_Z5WpTPwmlZz64NOGy3njqWYecBMW1_sAkxKwK--TxOPkeUexEAZdGl9WSWc_EOiAC8l8VtQaQG14K-fuidTtjgHZl09GgZDSWq_BoGgl-dV51Ziybwec0P9TI-c8cp8rrIiX27h9P9qoWtOYJ3yxprC0CsRQdVbEpS02nlThWxVC0iRS6s62ITnoQMRI4d2_4TfPCR4xEEnOX81Jj36H4pj6EnkYvuvQHg&cce=2&category=acrcp_v1_32&sig=AOD64_3PeIFosBBjGcznMvO1yR-1DFJC3Q&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/Lofts+at+Katy+Ranch+55%2B+Active+Adult+Living/data=!4m7!3m6!1s0x8641270068e88c37:0x33c9dd104d39c685!8m2!3d29.782335!4d-95.793069!16s%2Fg%2F11zj8cyfrn!19sChIJN4zoaAAnQYYRhcY5TRDdyTM?authuser=0&hl=en&rclk=1
Orchard At Westchase,4.4,,Retirement community,10801 Westpark Dr,,Open · Closes 6 PM,https://orchardwestchase.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,https://www.google.com/maps/place/Orchard+At+Westchase/data=!4m7!3m6!1s0x8640dcd4e2762b4b:0x2294ec999d33d04b!8m2!3d29.7196672!4d-95.562795!16s%2Fg%2F1tdr3pyv!19sChIJSyt24tTcQIYRS9AznZnslCI?authuser=0&hl=en&rclk=1
Cypress Woods - Sky Active Living,4.5,,Retirement community,2755 Chestnut Ridge Rd,,Open · Closes 7:30 PM,https://cypresswoodsseniorliving.com/,https://www.google.com/maps/place/Cypress+Woods+-+Sky+Active+Living/data=!4m7!3m6!1s0x8640b2b3a992145f:0x55009174f532a05c!8m2!3d30.0525319!4d-95.2406167!16s%2Fg%2F1tvdk52d!19sChIJXxSSqbOyQIYRXKAy9XSRAFU?authuser=0&hl=en&rclk=1
Landon Ridge Sugar Land Independent Living,4.8,,Retirement community,744 Brooks St,,Open 24 hours,https://www.sugarlandindependentliving.com/,https://www.google.com/maps/place/Landon+Ridge+Sugar+Land+Independent+Living/data=!4m7!3m6!1s0x8640e6c55444d547:0x47c94a374d3858df!8m2!3d29.6111076!4d-95.6356814!16s%2Fg%2F11gfgxqhtj!19sChIJR9VEVMXmQIYR31g4TTdKyUc?authuser=0&hl=en&rclk=1
Erickson Living,4.2,,Retirement community,14703 Eagle Vista Dr,,,https://www.ericksonseniorliving.com/eagles-trace,https://www.google.com/maps/place/Erickson+Living/data=!4m7!3m6!1s0x8640dbff4e2cdcf3:0x2fac249efab5973f!8m2!3d29.7618467!4d-95.6427493!16s%2Fg%2F1260pkhgl!19sChIJ89wsTv_bQIYRP5e1-p4krC8?authuser=0&hl=en&rclk=1
HomeTowne on Bellfort,4.2,,Retirement community,10888 Huntington Estates Dr,,Open 24 hours,https://hometownebellfort.com/home,https://www.google.com/maps/place/HomeTowne+on+Bellfort/data=!4m7!3m6!1s0x8640e77b9960f0c3:0xe9d7b1dbf6786d35!8m2!3d29.6626681!4d-95.6102941!16s%2Fg%2F1tdz56g8!19sChIJw_BgmXvnQIYRNW149tux1-k?authuser=0&hl=en&rclk=1
Paradise Springs - Sky Active Living,4.7,,Retirement community,5600 Cypresswood Dr,,Open · Closes 7:30 PM,https://paradisespringsseniorliving.com/,https://www.google.com/maps/place/Paradise+Springs+-+Sky+Active+Living/data=!4m7!3m6!1s0x8640ccbd1da99299:0x7ac9736197baf9fa!8m2!3d30.0239982!4d-95.4904802!16s%2Fg%2F1vf9crnn!19sChIJmZKpHb3MQIYR-vm6l2FzyXo?authuser=0&hl=en&rclk=1
Houston Center for Independent Living,4.8,,Social services organization,11111 Wilcrest Green Dr Suite 385,,Open · Closes 5 PM,http://hcil.cc/,https://www.google.com/maps/place/Houston+Center+for+Independent+Living/data=!4m7!3m6!1s0x8640c38a1fc3193b:0x3c58d976a6844f53!8m2!3d29.7228509!4d-95.5678811!16s%2Fg%2F11q9g7r9bj!19sChIJOxnDH4rDQIYRU0-EpnbZWDw?authuser=0&hl=en&rclk=1
Fountainwood at Lake Houston,4.8,,Retirement community,17990 W Lake Houston Pkwy,,Open 24 hours,https://fountainwoodatlakehoustonseniorliving.com/,https://www.google.com/maps/place/Fountainwood+at+Lake+Houston/data=!4m7!3m6!1s0x8640ad49d7659bbf:0x595927821b1d182!8m2!3d29.9807589!4d-95.1620403!16s%2Fg%2F11h5ntdpck!19sChIJv5tl10mtQIYRgtGxIXiSlQU?authuser=0&hl=en&rclk=1
Law Harrington Senior Living Center,4.3,,Low income housing program,2222 Cleburne St,,Open · Closes 5:30 PM,https://montrosecenter.org/micro-sites/law-harrington/,https://www.google.com/maps/place/Law+Harrington+Senior+Living+Center/data=!4m7!3m6!1s0x8640bf0ae1084acd:0x40b5e8f2dffb4257!8m2!3d29.7290655!4d-95.3715911!16s%2Fg%2F11n_4f5zpt!19sChIJzUoI4Qq_QIYRV0L73_LotUA?authuser=0&hl=en&rclk=1
Magnolia Place Senior,3.9,,Apartment complex,4647 Wenda St A402,,Open · Closes 5 PM,http://www.magnoliaplaceseniorapts.com/,https://www.google.com/maps/place/Magnolia+Place+Senior/data=!4m7!3m6!1s0x8640950bda87fb4b:0x93e5a110bf0e0d20!8m2!3d29.6538059!4d-95.3576464!16s%2Fg%2F1263gvvxx!19sChIJS_uH2guVQIYRIA0OvxCh5ZM?authuser=0&hl=en&rclk=1
West Oaks Village,4.0,,Retirement community,15059 Caseta Dr,,Open · Closes 5 PM,http://wovillage.com/,https://www.google.com/maps/place/West+Oaks+Village/data=!4m7!3m6!1s0x8640de9a86c8a1f9:0xd4aff2cc6a6f7608!8m2!3d29.7289504!4d-95.6569466!16s%2Fg%2F11c1wws2d4!19sChIJ-aHIhpreQIYRCHZvaszyr9Q?authuser=0&hl=en&rclk=1
HomeTowne at MC (GG’s),4.1,,Retirement community,10014 S Sam Houston Pkwy W,,Open · Closes 5:30 PM,https://hometownemissouricity.com/home,https://www.google.com/maps/place/HomeTowne+at+MC+%28GG%E2%80%99s%29/data=!4m7!3m6!1s0x8640e850f14752cd:0x2b69d5ffc2badaa8!8m2!3d29.6359248!4d-95.5280202!16s%2Fg%2F1tmpkx50!19sChIJzVJH8VDoQIYRqNq6wv_VaSs?authuser=0&hl=en&rclk=1
King's Preserve at Kingwood 55+ Active Adult Living,4.3,,Retirement community,929 Rockmead Dr,,Open · Closes 6 PM,http://www.kingspreserveatkingwood.com/,https://www.google.com/maps/place/King%27s+Preserve+at+Kingwood+55%2B+Active+Adult+Living/data=!4m7!3m6!1s0x8640b2b33d591501:0x6008b1188fcd17eb!8m2!3d30.0539683!4d-95.2404958!16s%2Fg%2F11b6dq_61t!19sChIJARVZPbOyQIYR6xfNjxixCGA?authuser=0&hl=en&rclk=1
Park Shadows Retirement Community,4.4,,Retirement community,7200 Shadyvilla Ln,,Open · Closes 5 PM,https://www.parkshadows-apartments.com/,https://www.google.com/maps/place/Park+Shadows+Retirement+Community/data=!4m7!3m6!1s0x8640c69ea6491d73:0xb5392c7c57276f5c!8m2!3d29.7965412!4d-95.4734268!16s%2Fg%2F1tc_w_2j!19sChIJcx1Jpp7GQIYRXG8nV3wsObU?authuser=0&hl=en&rclk=1
Palisades Of Inwood,4.6,,Apartment complex,5800 W Mt Houston Rd,,Open · Closes 5:30 PM,http://www.palisadesofinwood.com/,https://www.google.com/maps/place/Palisades+Of+Inwood/data=!4m7!3m6!1s0x8640cf32c9d527df:0x6e93f886efe785ca!8m2!3d29.8939837!4d-95.4784082!16s%2Fg%2F11c5zwqgkq!19sChIJ3yfVyTLPQIYRyoXn74b4k24?authuser=0&hl=en&rclk=1
