name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Vanadium Woods Village,4.7,,Retirement community,50 Vanadium Rd,,Open 24 hours,https://vanadiumwoods.org/,https://www.google.com/maps/place/Vanadium+Woods+Village/data=!4m7!3m6!1s0x8834f7f8625078e7:0xb8eabe9bd2e22421!8m2!3d40.3717428!4d-80.0914103!16s%2Fg%2F1tmcmx6j!19sChIJ53hQYvj3NIgRISTi0pu-6rg?authuser=0&hl=en&rclk=1
Cedar Ridge Senior Apartments,4.5,,Apartment complex,319 Cedar Ridge Dr,,Closed · Opens 8:30 AM Tue,https://oneclover.com/senior-apartments/cedar-ridge-senior-apartments/?utm_source=google&utm_medium=listing&utm_campaign=cedar_ridge,https://www.google.com/maps/place/Cedar+Ridge+Senior+Apartments/data=!4m7!3m6!1s0x883459b18d831123:0x35b530549084265!8m2!3d40.4463616!4d-80.1053339!16s%2Fg%2F11jpjdhx51!19sChIJIxGDjbFZNIgRZUIISQVTWwM?authuser=0&hl=en&rclk=1
Provincial Bethel Park,4.2,,Retirement community,2960 Bethel Church Rd,,Open · Closes 7:30 PM,http://www.provincialbethelpark.com/,https://www.google.com/maps/place/Provincial+Bethel+Park/data=!4m7!3m6!1s0x8834f9ae204481e7:0x836459b8f693bed6!8m2!3d40.3370153!4d-80.0482922!16s%2Fg%2F1tk23lht!19sChIJ54FEIK75NIgR1r6T9rhZZIM?authuser=0&hl=en&rclk=1
Cumberland Woods Village,4.6,,Retirement community,700 Cumberland Woods Dr,,Open 24 hours,https://www.srcare.org/cumberland-woods-village/?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=senior-community-swpa-cumberland-woods-village,https://www.google.com/maps/place/Cumberland+Woods+Village/data=!4m7!3m6!1s0x88348b9c777a5f9b:0x85e123edbc42b54!8m2!3d40.5761022!4d-80.0055259!16s%2Fg%2F1tj7fq83!19sChIJm196d5yLNIgRVCvE2z4SXgg?authuser=0&hl=en&rclk=1
Morningside Crossing,5.0,,Retirement community,1808 Jancey St,,Closed · Opens 8:30 AM Tue,https://cmshousing.com/morningside-crossing/,https://www.google.com/maps/place/Morningside+Crossing/data=!4m7!3m6!1s0x8834f2848b1e6caf:0x2cb2bbac34e2bae6!8m2!3d40.4860775!4d-79.9259572!16s%2Fg%2F11c7sxp2z5!19sChIJr2wei4TyNIgR5rriNKy7siw?authuser=0&hl=en&rclk=1
The Residence at Bethel Park,4.5,,Retirement community,5851 Keystone Dr,,Open 24 hours,https://www.residenceatbethelpark.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=profile,https://www.google.com/maps/place/The+Residence+at+Bethel+Park/data=!4m7!3m6!1s0x8834f916b328e2cf:0x7d87768f134eb537!8m2!3d40.3103726!4d-80.0371649!16s%2Fg%2F11g6_0znzt!19sChIJz-Iosxb5NIgRN7VOE492h30?authuser=0&hl=en&rclk=1
Seneca Hills Village,3.5,,Retirement community,5350 Saltsburg Rd,,Open 24 hours,https://senecaseniorliving.org/,https://www.google.com/maps/place/Seneca+Hills+Village/data=!4m7!3m6!1s0x8834ec84c155240f:0xae37abe26ac033ad!8m2!3d40.4792779!4d-79.8369431!16s%2Fg%2F1w2y_2x4!19sChIJDyRVwYTsNIgRrTPAauKrN64?authuser=0&hl=en&rclk=1
St Augustine's Plaza,3.2,,Apartment building,230 36th St,,,https://www.christian-housing.org/st-augustine-plaza,https://www.google.com/maps/place/St+Augustine%27s+Plaza/data=!4m7!3m6!1s0x8834f3b4cc4f17e9:0xd680cd98d98dfe29!8m2!3d40.464839!4d-79.9644769!16s%2Fg%2F1tg9tbnf!19sChIJ6RdPzLTzNIgRKf6N2ZjNgNY?authuser=0&hl=en&rclk=1
Riverview Manor,3.1,,Apartment building,1500 Letort St,,,https://www.nationalchurchresidences.org/communities/riverview-manor/,https://www.google.com/maps/place/Riverview+Manor/data=!4m7!3m6!1s0x8834f45b7117b385:0x6540df552dc29fa7!8m2!3d40.4800048!4d-80.0372881!16s%2Fg%2F1v2gfdw8!19sChIJhbMXcVv0NIgRp5_CLVXfQGU?authuser=0&hl=en&rclk=1
St Ambrose Manor,3.5,,Apartment complex,1235 Yetta Ave #1,,,https://www.christian-housing.org/copy-of-st-augustine-plaza,https://www.google.com/maps/place/St+Ambrose+Manor/data=!4m7!3m6!1s0x8834f3eb582a0eef:0x7866367017c82dc!8m2!3d40.4631343!4d-79.991975!16s%2Fg%2F1tdg3wk3!19sChIJ7w4qWOvzNIgR3IJ8AWdjhgc?authuser=0&hl=en&rclk=1
Silver Lake Commons,4.6,,Retirement community,6935 Frankstown Ave,,,,https://www.google.com/maps/place/Silver+Lake+Commons/data=!4m7!3m6!1s0x8834ed9380f429f7:0xe7df023cd5bd146b!8m2!3d40.458659!4d-79.902664!16s%2Fg%2F1tf089n2!19sChIJ9yn0gJPtNIgRaxS91TwC3-c?authuser=0&hl=en&rclk=1
