name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Revere Court Memory Care,4.9,,Assisted living facility,7707 Rush River Dr,,Open 24 hours,http://www.reverecourt.com/,https://www.google.com/maps/place/Revere+Court+Memory+Care/data=!4m7!3m6!1s0x809ace0dc11a6987:0x8d41b908e45f5796!8m2!3d38.4837056!4d-121.5269907!16s%2Fg%2F11ckthj2c5!19sChIJh2kawQ3OmoARlldf5Ai5QY0?authuser=0&hl=en&rclk=1
Gramercy Court Assisted Living and Memory Care,3.5,,Assisted living facility,2200 Gramercy Dr A,,Open · Closes 8 PM,https://lifegen.net/locations/gramercy-court-assisted-living/,https://www.google.com/maps/place/Gramercy+Court+Assisted+Living+and+Memory+Care/data=!4m7!3m6!1s0x809adbd289156753:0x44b34901a5160dc1!8m2!3d38.6054291!4d-121.3975478!16s%2Fg%2F1wj_tj95!19sChIJU2cVidLbmoARwQ0WpQFJs0Q?authuser=0&hl=en&rclk=1
American River Care Home,4.8,,Assisted living facility,3817 Marconi Ave,,Open · Closes 5 PM,http://americanrivercarehome.com/,https://www.google.com/maps/place/American+River+Care+Home/data=!4m7!3m6!1s0x809adbe0145bd7b7:0x2e7c4c5409665666!8m2!3d38.619242!4d-121.3757809!16s%2Fg%2F1264260yz!19sChIJt9dbFODbmoARZlZmCVRMfC4?authuser=0&hl=en&rclk=1
Sycamore Residential Care Center,5.0,,Nursing home,4545 Sycamore Ave Unit B,,Open 24 hours,,https://www.google.com/maps/place/Sycamore+Residential+Care+Center/data=!4m7!3m6!1s0x809adf9c9261b1c7:0x7555ab9dfe7e475c!8m2!3d38.6480346!4d-121.3540515!16s%2Fg%2F11p10fm3dv!19sChIJx7FhkpzfmoARXEd-_p2rVXU?authuser=0&hl=en&rclk=1
Pioneer House Health Center,4.8,,Nursing home,415 P St,,Open 24 hours,https://pioneerhousehc.com/,https://www.google.com/maps/place/Pioneer+House+Health+Center/data=!4m7!3m6!1s0x809ad1835ed9dd75:0x773a1779352d018c!8m2!3d38.5759101!4d-121.5036428!16s%2Fg%2F11wgd5m152!19sChIJdd3ZXoPRmoARjAEtNXkXOnc?authuser=0&hl=en&rclk=1
Villa Natomas Elderly Care,5.0,,Assisted living facility,540 Alcantar Cir,,Open · Closes 6 PM,,https://www.google.com/maps/place/Villa+Natomas+Elderly+Care/data=!4m7!3m6!1s0x809ad5e6beb06b53:0x5e0cc72c1ec39bb1!8m2!3d38.6306351!4d-121.5437351!16s%2Fg%2F1261scchf!19sChIJU2uwvubVmoARsZvDHizHDF4?authuser=0&hl=en&rclk=1
Oakmont of Fair Oaks,4.5,,Assisted living facility,8484 Madison Ave,,Open 24 hours,https://oakmontseniorliving.com/fairoaks,https://www.google.com/maps/place/Oakmont+of+Fair+Oaks/data=!4m7!3m6!1s0x809ae0b6ab21e945:0xbd530f50b6dae55d!8m2!3d38.6637582!4d-121.2457174!16s%2Fg%2F11f042snjx!19sChIJRekhq7bgmoARXeXatlAPU70?authuser=0&hl=en&rclk=1
McKinley Park Care Center,4.0,,Nursing home,3700 H St,,Open 24 hours,http://www.mckinleyparkcarecenter.com/,https://www.google.com/maps/place/McKinley+Park+Care+Center/data=!4m7!3m6!1s0x809ad09a1b63e429:0x5a76939fda883bd0!8m2!3d38.5722835!4d-121.4561516!16s%2Fg%2F1th7n49p!19sChIJKeRjG5rQmoAR0DuI2p-Tdlo?authuser=0&hl=en&rclk=1
The Courte at Citrus Heights,4.5,,Assisted living facility,6825 Sunrise Blvd,,Open 24 hours,https://frontiermgmt.com/communities/courte-at-citrus-heights/,https://www.google.com/maps/place/The+Courte+at+Citrus+Heights/data=!4m7!3m6!1s0x809adfd2f27a4d13:0xd7b33f73e6f53ba8!8m2!3d38.6909098!4d-121.2729416!16s%2Fg%2F11c5szppy6!19sChIJE0168tLfmoARqDv15nM_s9c?authuser=0&hl=en&rclk=1
All Seasons | Residential Assisted Living,4.8,,Assisted living facility,8731 Central Ave,,Open 24 hours,http://www.allseasonsoflife.com/,https://www.google.com/maps/place/All+Seasons+%7C+Residential+Assisted+Living/data=!4m7!3m6!1s0x809ae0eeb289f7a9:0xf3945245299e7776!8m2!3d38.6862859!4d-121.2332572!16s%2Fg%2F11_sqdqq4!19sChIJqfeJsu7gmoARdneeKUVSlPM?authuser=0&hl=en&rclk=1
A Bright Future,5.0,,Assisted living facility,4136 Singing Tree Way,,Open 24 hours,,https://www.google.com/maps/place/A+Bright+Future/data=!4m7!3m6!1s0x809b273af39f6437:0x4707e167e10ea97f!8m2!3d38.7249229!4d-121.3672389!16s%2Fg%2F11f0ky2qfd!19sChIJN2Sf8zonm4ARf6kO4WfhB0c?authuser=0&hl=en&rclk=1
Carlton Senior Living Elk Grove,4.6,,Assisted living facility,6915 Elk Grove Blvd,,Open 24 hours,https://www.carltonseniorliving.com/community/elk-grove/,https://www.google.com/maps/place/Carlton+Senior+Living+Elk+Grove/data=!4m7!3m6!1s0x809ac7c9d831e51d:0x1b627156a72e4a0c!8m2!3d38.409755!4d-121.422869!16s%2Fg%2F1q2w0lfk2!19sChIJHeUx2MnHmoARDEoup1ZxYhs?authuser=0&hl=en&rclk=1
Later Years LLC Senior Care Home,5.0,,Assisted living facility,14 Ararat Ct,,Open 24 hours,,https://www.google.com/maps/place/Later+Years+LLC+Senior+Care+Home/data=!4m7!3m6!1s0x809ad17aa43d0b19:0x53b627e0e06eece0!8m2!3d38.4997464!4d-121.5368665!16s%2Fg%2F11j_r7frjc!19sChIJGQs9pHrRmoAR4Oxu4OAntlM?authuser=0&hl=en&rclk=1
Fair Oaks Estates,3.3,,Assisted living facility,8845 Fair Oaks Blvd,,Open · Closes 4 PM,https://www.fairoaksestates.com/,https://www.google.com/maps/place/Fair+Oaks+Estates/data=!4m7!3m6!1s0x809addda8eef1271:0x4e25690d900be21f!8m2!3d38.6372065!4d-121.2959511!16s%2Fg%2F1tjgpvhf!19sChIJcRLvjtrdmoARH-ILkA1pJU4?authuser=0&hl=en&rclk=1
Siebenthal Elder Care Home,5.0,,Assisted living facility,7948 Hunts Run Way,,Open · Closes 5 PM,https://www.siebenthals.com/,https://www.google.com/maps/place/Siebenthal+Elder+Care+Home/data=!4m7!3m6!1s0x809ac5b83063b993:0x9637d3006a54d508!8m2!3d38.4691873!4d-121.3892099!16s%2Fg%2F11n1x2rx15!19sChIJk7ljMLjFmoARCNVUagDTN5Y?authuser=0&hl=en&rclk=1
Sunshine Care Home,4.9,,Assisted living facility,5010 Olean St,,Open 24 hours,https://sunshinecarehome.com/,https://www.google.com/maps/place/Sunshine+Care+Home/data=!4m7!3m6!1s0x809ae7bd0e5b6c95:0xcbf9075bb3edd0ad!8m2!3d38.6570524!4d-121.2211412!16s%2Fg%2F11w98prjtd!19sChIJlWxbDr3nmoARrdDts1sH-cs?authuser=0&hl=en&rclk=1
Sunrise of Carmichael,4.9,,Assisted living facility,5451 Fair Oaks Blvd,,Open 24 hours,https://www.sunriseseniorliving.com/communities/ca/sunrise-of-carmichael?utm_source=directory_listings&utm_medium=clicks&utm_campaign=google,https://www.google.com/maps/place/Sunrise+of+Carmichael/data=!4m7!3m6!1s0x809adc68b4b102b9:0x1dcd2e7bb9e18840!8m2!3d38.6048334!4d-121.3375025!16s%2Fg%2F1tdzrd3w!19sChIJuQKxtGjcmoARQIjhuXsuzR0?authuser=0&hl=en&rclk=1
The Gardens at Laguna Springs Memory Care Community,4.6,,Assisted living facility,9750 Laguna Springs Dr,,Open 24 hours,https://koelschseniorcommunities.com/senior-living/ca/elk-grove/memory-care/the-gardens-at-laguna-springs/?utm_campaign=gmb&utm_medium=organic&utm_source=local,https://www.google.com/maps/place/The+Gardens+at+Laguna+Springs+Memory+Care+Community/data=!4m7!3m6!1s0x809ac7199439a793:0xf7dc4c10c3a93666!8m2!3d38.4033927!4d-121.3955764!16s%2Fg%2F11llbqxqhm!19sChIJk6c5lBnHmoARZjapwxBM3Pc?authuser=0&hl=en&rclk=1
Aegis Living Carmichael,4.4,,Assisted living facility,4050 Walnut Ave,,Open · Closes 8 PM,https://www.aegisliving.com/locations/aegis-living-carmichael-ca/?utm_campaign=gmb,https://www.google.com/maps/place/Aegis+Living+Carmichael/data=!4m7!3m6!1s0x809adeb1d5eecdcf:0x6f7544f2809a4411!8m2!3d38.6385617!4d-121.3453309!16s%2Fg%2F1tgdntbs!19sChIJz83u1bHemoAREUSagPJEdW8?authuser=0&hl=en&rclk=1
River Bend Nursing Center,4.0,,Nursing home,2215 Oakmont Way,,Open · Closes 6:30 PM,http://riverbendnursingcenter.com/,https://www.google.com/maps/place/River+Bend+Nursing+Center/data=!4m7!3m6!1s0x809ad4018060e947:0xe211530d8ff6b587!8m2!3d38.5759556!4d-121.5397569!16s%2Fg%2F1v6p92t5!19sChIJR-lggAHUmoARh7X2jw1TEeI?authuser=0&hl=en&rclk=1
